,name,cb_description,highest_scored_cluster,top_matched_cluster_keywords
12,Gemfire,gemfire corporation combine entrepreneurial atmosphere extensive technology base found gemfire specialize apply planar semi conductor type processing technology create optical solution system integrator innovative new family high performance telecom specialty component currently company primary operation livingston scotland near edinburgh aerospace support operation additional telecom manufacturing capability fremont california,1,"company, specialty, corporation, innovative, telecom, specialize, extensive, performance, manufacturing, conductor, capability, operation, entrepreneurial, optical, processing, technology, family, aerospace, type"
13,Jobandtalent,jobandtalent demand staff marketplace aim labor market liquid transparent help company hire flexible way mission reduction unemployment world labor market evolve structured state extremely flexible company demand flexibility result growth liquidity market flexible state labor market leave worker vulnerable unprotected employment situation jobandtalent create workforce service waas platform order labor flexibility beneficial company worker alike company office uk spain germany sweden mexico colombia plan expansion france italy end year,0,"company, waas, office, labor, staff, workforce, leave, unemployment, hire, worker, employment, jobandtalent"
14,360-Logistics,"logistics total supplier party logistic online store automate fulfillment center middle oslo deliver market fast precise logistic service business owner concentrate growth online store logistics norway automate 3pl operator annual shipment fulfillment center oslo currently warehouse area ​​5,000 m2 autostore box employee",0,"middle, business, logistics, precise, center, shipment, deliver, store, party, concentrate, market, growth, logistic, online, warehouse, annual, area, service, fulfillment, automate, supplier, autostore, box, fast"
15,3rd-Eye-Studios,eye studio collection technology movie tv game industry veteran build atmospheric sophisticated game groundbreake technology tool game developer locate helsinki shanghai eye studio found june group game industry veteran previously work senior position company like remedy entertainment unity technology bugbear entertainment redlynx moon studio,1,"group, company, industry, movie, moon, entertainment, tv, game, collection, eye, june, redlynx, veteran, senior, atmospheric"
16,3TEMP-AB,3temp ab design develops sell service tool equipment coffee industry high quality segment 3temp ab head office locate arvika sweden receive knowledge support investment develop manufacture market high end drip filter coffee brewer segment worth us$ 8.4bn year team today include people industry experience commercial knowledge elevate startup position dominant player drip filter coffee brewer segment,1,"coffee, receive, player, team, high, worth, filter, segment, end, brewer, head, tool, position, today, year, dominant, drip"
17,4Subsea,4subsea lead provider technology service help operator maintain production subsea oil gas field offshore wind farm combine expert engineering competence practical experience digital service ensure integrity subsea asset way reservoir deck company found client include major oil gas operator large supplier subsea equipment 4subsea deliver solution unique digital platform aim forefront digitise oil gas offshore wind operation worldwide,2,"company, client, field, offshore, provider, gas, include, deliver, forefront, reservoir, aim, oil, subsea, digitise, deck, operation, worldwide, lead, equipment, service, technology, digital, platform, operator, production, farm, engineering, supplier, asset"
18,A3P-Biomedical,a3p biomedical provide prostate cancer diagnosis treatment specialize advanced prostate cancer diagnostic main product stockholm3 clinically commercially validate blood test early detection aggressive prostate cancer test combine protein marker genetic marker clinical data proprietary algorithm purpose detect aggressive prostate cancer early stage,0,"detection, test, diagnostic, marker, validate, diagnosis, detect"
19,AAC-Microtec,åac microtec primarily provide space solution system commercial governmental educational customer sweden united states company develop manufacture sell microelectronic system small spacecraft offer development tool include virtual system integration equipment jtag debugger flat satellite obc lite µrtu nanortu development kit company provide 1u 6u satellite system sub system rapid integration architecture product space wire avionic power product µpol pol arte,1,"solution, product, company, sell, sub, space, pol, wire, åac, governmental, provide, primarily, manufacture, power, states, united, customer, offer, small, system, obc, include, commercial"
20,Nature’s-Fynd,nature fynd food company produce protein microbe discover geothermal spring company mission create food nourish people planet revolutionary fermentation technology grow protein fraction land water resource require traditional agriculture nature fynd found headquartered chicago illinois,0,"nourish, grow, fraction, geothermal, traditional, agriculture, protein, microbe, water, food, fermentation, people, planet, spring, nature, land, technology, produce"
21,Aalbun-Ltd,aalbun innovation intellectual property legaltech startup found disrupt intellectual property space aalbun service tool power secure digital platform act single pane glass request service innovation intellectual property need combine fix pricing model mission democratise simplify process innovation enable innovator change world aalbun trust patent filer world name legaltech startup uk,0,"model, patent, disrupt, innovation, legaltech, aalbun, innovator, intellectual"
22,Kaptivo,kaptivo use ai visual collaboration easier efficient kaptivo remote meeting include live stream whiteboard content augment capability include automatic note take kaptivo remote meeting include live stream whiteboard content augment capability include automatic note take business school use kaptivo conjunction zoom cisco webex microsoft team slack collaboration tool improve productivity keep content secure,0,"kaptivo, automatic, microsoft, content, zoom, ai, stream, visual, tool, webex, remote"
23,Aapiable.io,api portal service customer developer partner apiable portal support multiple heterogeneous api gateway time allow connect organization gateway require developer touchpoint use pre build adaptor connect exist api management system s create new api product combine apis meet business need,1,"adaptor, gateway, management, combine, connect, support, s, portal, service, require, system, organization"
24,Aava-Mobile,aava mobile found spring team industry expert strong background mobile platform development original design equipment manufacturer aava mobile open platform provide flexibility oem mobile operator incorporate i d user interface content service let oem operator customize device easily differentiate competitor,1,"content, user, aava, background, equipment, service, device, platform, operator, interface, flexibility, mobile"
25,abeo,abeo focus understanding meet unique need anesthesiologist goal consistently deliver level personal service start business sophistication require today complex healthcare environment dedicate increase revenue sophisticated billing management technology available want spend time worry manage practice spend time enjoy life,0,"revenue, business, focus, management, manage, service, technology, billing, healthcare, anesthesiologist"
26,Absolicon-Solar-Concentrator,absolicon solar concentrator ab produce install solar energy system offer solar concentrator collector company provide x10 produce electricity heat hot tap water heating heat power air conditioning desalination process heat application product photovoltaic thermal application hotel hospital apartment building sport center industry airport restaurant supermarket southern europe absolicon solar concentrator ab found base hã¤rnã¶sand sweden,1,"product, company, center, industry, base, install, building, provide, collector, absolicon, application, produce, found, ab"
27,Abzu,abzu bear desire challenge fundamental assumption contemporary black box ai abzu pioneer artificial intelligence qlattice accelerate analysis insight transparent explainable model inspire datum scientist scientific found january abzu office copenhagen denmark barcelona spain,2,"pioneer, abzu, datum, black, bear, qlattice"
28,Academica,academica provide company necessary infrastructure service enable company focus core competency grow business academica enhance company employee daily work dependability advanced solution bring significant cost saving company operation life cycle cost,1,"focus, enhance, enable, significant, core, infrastructure, competency, academica, advanced, cost"
29,Acadia-Pharmaceuticals-Inc.,acadia pharmaceuticals inc . biopharmaceutical company focus development commercialization small molecule drug treatment central nervous system disorder company maintain wholly own subsidiary acadia pharmaceuticals ab base malmo sweden acadia pharmaceutical s base denmark company develop portfolio consist product candidate include compound pimavanserin develop separate neurological psychiatric indication collaboration biovail laboratory international srl biovail subsidiary biovail corp . indications parkinson disease psychosis phase iii development adjunctive therapy schizophrenia alzheimer disease psychosis initiate phase ii feasibility study,2,"product, pharmaceutical, biovail, drug, biopharmaceutical, pharmaceuticals, laboratory, molecule, compound, pimavanserin"
