,id,name,cb_description
15,9201,3DLOOK,global leader ai mobile body measure fit solution solution enable innovative personalized shopping experience base consumer unique body profile drive conversion engagement reduce return body datum analytic give brand actionable insight retarget shopper base actual accurate body shape measurement data optimize design product development inventory planning distribution create sustainable business model mission help people easily solve everyday routine task body data different way application recognize pioneer world winner lvmh innovation award name emerge company disrupt traditional retail body scan technology
16,8364,3D-Robotics,make advanced drone technology easily accessible construction mining surveying industry use datum analysis help user land mapping site scan service collect accurate aerial datum turn urn drone photo map model point cloud provide comprehensive onboarde ongoing support enable client batter informed decision relate construction site found headquarter
17,6651,3scale,make easy open secure distribute control monetize s powerful secure web scalable management platform build performance customer control excellent time value mind power customer s enable distribution company datum content service multiple device mobile web application make easy productize s solution give provider power ease flexibility cost effective way customer span government academia startup include johnson controls sita power strategy practice conference open source search engine unlock power s feature include access control security policy management set tier rate limit automatic provision pricing rule etc traffic monitor analytic portal billing payment management braintree work separate program cloud management layer traffic management component premise cloud cdn work layer allow powerful traffic control position need architecture centralized interface management result traffic control manage single location have flow s deliver multiple channel result low latency increase control privacy low vulnerability great cost effectiveness office information visit
18,3918,3sun-Group,limited subsidiary provide hydraulic control instrumentation product service oil gas sector worldwide furthermore offer skilled technician installation servicing wind turbine offshore application onsite testing inspection service oil gas renewable asset technical vocational training service europe limit found base great yarmouth
19,1767,40-Partners-Ltd,produce talent broadcaster brand short form feature length studio go bit different hopefully game changer talent stay touch course
20,1351,42Lab,modular portable affordable biotech laboratory student mathematic stem education require country school struggle introduce biotechnology student high equipment cost troublesome experiment preparation solve problem provide portable modular biotech equipment student conduct experiment companion app serve electronic manual student management tool teacher vision bring biotech experience student like pi computer science
21,8307,4-Antibody-AG,develop human antibody drug discovery platform generate antibody therapeutic focus immuno oncology technology platform design generate therapeutic antibody drug candidate incorporate human antibody library express mammalian b lineage lymphocyte company develop preclinical checkpoint antibody program target gitr found base
22,8780,4energy,locate nottingham produce cool solution deliver energy saving traditional cool product datum centre telecom industry
23,6524,5Mins,s gamified learn platform design help employee improve skill curate short form video content lead creator world make available team business adaptive gamifie learn engine
24,1199,77-Foods,develop vegetable edible fat ambition offer different type vegetable meat
25,1504,7bridges,smart logistic platform deliver visibility control logistic process unify data operation enable access global supplier ecosystem world class sustainable logistic operation rapidly achievable reality platform realize future proof sustainable logistic scalable competitive profit growth drive edge
26,4084,7digital,global leader end end digital music solution core business provision robust scalable technical infrastructure extensive global music right create music streaming radio service diverse range customer include consumer brand mobile carrier broadcaster automotive system record label retailer offer radio production music curation service editorial strategy content management expertise
27,432,7TM-Pharma,biotech company discover develop drug primary therapeutic focus diabetes gastrointestinal metabolic asthma vascular disease company offer transmembrane span receptor include small molecule receptor antagonist selective agonist gastrointestinal disorder short bowel syndrome antagonist oral drug inflammatory respiratory disease found base lyngby hovedstaden
28,3403,8fit,app help build healthy habit life simple solution support user worldwide individual journey healthier happy life push progress perfection choose good solution quick fix enjoy journey healthiest mind body understand obstacle people face fitness journey not easy s size fit way find lifelong health s building engage approachable way people achieve personal fitness goal
29,28,8tracks-Radio,internet radio social network streams user curate song playlist contain track handcraft internet radio network social alternative tune online mixtape track curate people know love music stream legal radio style manner
30,10207,8vdX,marketplace founder friendly acceleration capital found headquarter
31,999,9fin,use artificial intelligence automatically extract key information bond loan documentation make datum easy search filter analyse help fix income professional well smart decision predictive analytic help forecast key capital market event high degree accuracy record include default rating change refinance recapitalisation transaction analytic real time news comprehensive financial datum firm win new mandate allow fund spot trading opportunity credit risk enable sponsor extract maximum value portfolio world lead bank hedge fund asset manager back lead vc fund fintech accept residency program program accelerator run member manage
32,8509,a55,developer financial underwriting platform offer revenue back credit line system company recur revenue platform underwrite small medium sized enterprise technology platform connect bank account escrow solution billing payment mean credit intelligence enable borrower credit monitor dashboard insight section revenue cost metric integrate cash flow covenant management system lender monitor platform feed real time transactional datum company found headquarter
33,1382,AarogyaAI,aarogyaai artificial intelligence base software service diagnose drug resistant tuberculosis aarogyaai use dna sequence patient upload machine learn algorithm give output report comprehensive drug susceptibility status patient
34,6718,Aarohi-communication,aarohi develop generation storage component processor system supplier
35,5266,Abacum,abacum saas help finance team deliver business insight abacum collaborative workflow planning platform finance team boost productivity strategic impact company believe empower people good collaborative tool multiply strategic impact organization fulfil
36,258,Abacus.AI,artificial intelligence research cloud service company help organization design train operationalize machine deep learning model allow organization plug play deep learning system exist customer experience business process company found base
37,3853,Abacus-e-Media,abacus e medium bring digital expertise industry specialist creative thinking design build website work believe develop technical solution forge commercial objective business brand strategy produce interactive engage user experience
38,6113,ABA-English,lead learn student worldwide headquarter talented team compose professional country stand unique methodology combine technology pedagogy interaction real teacher mission guide student learn journey empower effective tool achieve goal quickly efficiently recognize good educational app award feature educational app
39,5024,ABAKA-Holdings,world digital save retirement enterprise saas platform power artificial intelligence innovative technology enable financial institution power digital saving retirement solution deliver scalable affordable advice pension saving investment retail customer s library modular application help enterprise client power conversational ai personalise behavioural nudge big data insight financial dashboard outstanding customer experience people access technology client technology license tier international bank pension provider asset manager multiple country s enterprise solution enable financial institution power pension saving investment fully digital hybrid advice proprietary model vast quantity user behavioural financial datum intelligently manage human like conversation machine learning model identify persona segmentation power personalise insight nudge increase engagement sell opportunity digital channel financial dashboard data aggregation technology power retirement planning cash flow model suitability assessment simulation outcome scenario drive advice
40,10663,ABAX,developer supplier tracker system software technology business operate company vehicle product world lead respective field help numerous customer reduce overall fuel spend company vehicle eliminate risk tax penalty
41,4034,Abbey-Pharma,found manufacture distribute sell prescription counter product
42,6511,Abcodia,biotechnology company focus discovery validation biomarker cancer screen unique longitudinal serum biobank partnership technology platform provider lead commercial diagnostic company able support end end diagnostic development process found base uk
43,2,Abe's-Market,online marketplace give natural product entrepreneur platform showcase product tell unique story
44,9786,Abhi,abhi financial wellness platform provide employee salary advance base accrue wage abhi salary advance app plan change game people spend money allow user withdraw portion accrue salary bank account help employer reduce workload hr finance department facilitate employee need abhi found base
45,4155,Abiquo-Group,abiquo original pioneer cloud compute early start man year engineering effort allow build broadest deep hybrid cloud management software solution available market today design ground strategic solution meet need customer unlike solution abiquo specifically architecte hardware hypervisor independent start tremendous advantage today hybrid cloud environment timeline abiquo cloud management software support multiple infrastructure type version grow manage hybrid cloud environment premise hypervisor container public cloud
46,3255,ABK-Biomedical,combine clinical market biomaterial specialize improve treatment option patient hypervascular tumor company dedicated transform interventional radiology procedure call embolization
47,5750,Ablynx,ablynx biopharmaceutical company engage discovery development nanobodie novel class therapeutic protein base single domain antibody fragment range human disease include inflammation haematology oncology pulmonary disease approximately project pipeline nanobodie clinical development
48,3527,Abogen-Biosciences,abogen bioscience discovery stage biotechnology company focus develop nucleic acid base dna therapeutic treatment cancer infectious disease
49,7990,Abokado,own operate chain food bar restaurant offer sushi wraps breakfast juice smoothie drink cake fruit salad soup stir fry food supply lunch company wife found headquarters
50,9867,Abound-Solar,produce generation thin film photovoltaic module intend deliver low levelize cost electricity
51,8631,Abra,establish mission create simple hst platform enable cryptocurrency holder maximize potential asset enable individual business safely securely buy trade borrow cryptocurrencie place s vision open global financial system easily accessible base united states operate country make easy convert crypto wide variety local fiat currency customer transaction process continue grow rapidly widely love trust review rate popular crypto wallet market back tier investor
52,3174,AbsolutData,consult orient analytic research firm number client wide variety industry country navik ai platform enterprise blend ai technology datum analytic serve intelligence layer forward think company
53,2285,Abundance-Investment,abundance investment crowdfunde platform enabling earn money invest renewable energy project
54,3436,Acacia-Pharma,pharmaceutical company discover develop supportive care drug company focus cancer supportive care product include injectable formulation oral drug use nausea vomiting use cancer cachexia intravenous formulation use prevention treatment nausea vomiting company concentrate discovery effort cancer relate fatigue cancer cachexia xerostomia incorporate base
55,778,Academy-of-Change,educational ecosystem mean platform woman find course topic interest study convenient environment
56,4672,ACAL-Energy,developer system module consumable chemical range use include stationary residential automotive application require large kw power innovative design deliver substantial cost saving system performance improvement accelerate adoption pem technology key market
57,739,Accelerated-Payments,accelerated payment enable sme expand grow allow advance cash specific individual invoice accelerate payment create entrepreneur year experience financial service start run business
58,4924,AccelerComm,accelercomm exciting semiconductor ip core company provide solution accelerate generation wireless communication rel rel technology solve bottleneck limit speed generation wireless communication error correction decode required overcome effect noise interference poor signal strength
59,6503,Accelex,datum acquisition analytic report solution provider alternative investor asset servicer
60,6388,Access-Bank,provide banking product service individual business customer offer standard saving current access advantage solo premier account company provide online banking service include online access point sale terminal service bill payment money transfer service
61,6483,AccessFintech,accessfintech offer risk management service bank buyside firm track trade lifecycle help firm track trade lifecycle true sense prioritize risk increase number system bring fintech providers house technology orchestrate interaction distribute provider create single visual display risk financial transaction global sharable view
62,10138,Access-Intelligence,access intelligence b b medium information company headquarter serve energy defense healthcare management chemical satellite aviation cable medium public relation market
63,3427,Accuri-Cytometers,found address compelling need life scientist love rapid cell cell analysis capability flow cytometer flow cytometer lab barrier researcher include cost instrument complexity software effort require maintenance large bench space require instrument result company look develop affordable robust cytometer
64,10601,Accutrainee,accutrainee found run solicitor understand legal industry challenge deliver legal service client critical need commercial approach whilst stay sensitive partnership ethos profession understand trainee process having experience hand
65,8817,AccuVein,accuvein specialize vein visualization technology flagship product hand hold non contact vein illumination solution allow healthcare professional map peripheral vein skin surface goal access avoid vein build proprietary technology embody grow patent portfolio cover broad range image medical diagnostic technology company found headquartered medford
66,7247,Acea-Health,acea health digital company develop application call new digital consent platform analyse number factor include patient background deliver personalise risk benefit aim solution consent
67,6553,Acesion-Pharma,acesion developer medical drug design treatment atrial fibrillation company medical drug develop treatment atrial fibrillation common type cardiac arrhythmia follow concept inhibit type ion channel heart cell involve generate electrical signal regulate heart rhythm provide consumer chronic treatment prevent recurrence maintain normal heart rhythm
68,4158,ACHICA,member luxury lifestyle store offer member luxury home kitchen garden child gift travel lifestyle brand round new brand last hour free join use private sale model mean member access product close search engine price comparison site turn protect brand promote co found online retail expert co founder asos ceo large digital marketing company partner jointly invest online retail venture launch co own online retail experience
69,6532,Achilles-Therapeutics,developer immunotherapy intend offer generation patient specific therapy treat cancer company immunotherapie harness immune system destroy cancer cell target truncal tumor neo antigen flag immune system present surface cancer cell enable scientist target destroy tumor harm healthy tissue
70,7485,Achillion-Pharmaceuticals,achillion drive transform live patient family affect disease complement system integral innate immune system clinical evidence implicate complement system specifically complement alternative pathway ap numerous devastating disease condition principal focus achillion advance clinical stage portfolio orally administer factor d inhibitor late stage development potential commercialization patient devastating disorder complement system
71,1232,Ackcio,build real time reliable wireless monitoring solution industrial application
72,10086,Acousticeye,establish bring acoustic technology industry company develop manufacturer market mobile embed tube inspection device patent pende technology offer accurate rapid single point inspection inaccessible tube company dolphin system unique ability quickly find accurately locate defect complex tube system regardless material need physically traverse probe tube
73,10194,Acre,acre rebuild uks mortgage market ground vertically integrate mortgage stack new end end platform broker lender
74,4981,AcreTrader,agricultural real estate invest platform help buyer buy share farmland online platform provides transparency flexibility ease use people want invest farmland handling aspect administration property management insurance account work local farmer improve soil sustainability company found headquarter
75,3893,ACS-Clothing,provider men hirewear lead retailer ireland wtih extensive range formalwear highlandwear provide outfit wearer range garment available hire company grow proud supply large menswear retailer
76,5131,Actifio,deliver enterprise datum service global enterprise customer service provider partner country help global enterprise customer service provider partner country world virtualize datum virtualize server network technology decouple data infrastructure enable dramatic improvement business resiliency agility access cloud replace siloe datum management application radically simple application centric drive approach let customer capture datum production application manage economically use need result enterprise datum available use anytime
77,7159,Actionality,actionality offer mobile marketing technology solution company adflextm platform enable user develop mobile commercial standardized format campaign logic support update rotation modification interaction reporting serve advertiser mobile operator content provider company found base sale office subsidiary
78,4904,Activiomics,develop groundbreake patented technology enable transformation way biomarker identify diagnostic develop drug candidate identify profiled technology centre novel mass spectrometry base approach global quantitative analysis phosphorylation site phosphorylation critical mediator cellular process site phosphorylation represent important class novel biomarker tiquas target depth quantification cell technology enable quantification phosphorylation event give tissue sample subsequent marker response identify enable development future diagnostic
79,3073,Actronika,build haptic platform enable seamless system integration leader haptic technology provide cut edge vibrotactile module integrate client system develop human machine interface solution patent haptic technology human bear touch order form relationship learn engaged environment face digitize world mission engage people tangible material experience hardware software possible
80,9537,Actuation-Lab,actuation lab address problem high servicing requirement poor longevity current actuator
81,8423,Acurable,acurable start headquarter acurable commercialize wearable medical device able accurately diagnose manage respiratory condition non invasive way award win patented technology major engineering innovation product research imperial college acurable medical device accurate reading current solution enable automate diagnosis drastically reduce misdiagnosis non invasive require training enable home use assistance specialist visit hospital significantly lower overall cost acurable aim understand human biosignal die treatable condition
82,20,Acutus-Medical,develop medical technology treat complex cardiac arrhythmia company platform display heart true activation pattern turn chaos complex arrhythmia clear vision electrophysiologist privately fund company found base product co develop exceptional team medical scientist biomedical engineer professional found headquarter
83,9987,AD4Energy,limited uks technology provider small scale anaerobic digestion ad plant design installation capability ad plant generate electricity low main provider ad rural farming community offer client variety anaerobic digestion base product service suit energy requirement business need company fold approach specialise design build commission small medium scale anaerobic digestion plant house capability design alternatively provide technical mechanical biological support exist anaerobic digestion plant size
84,1262,Adaface,build conversational round tech interview candidate love interview turn analyse candidate think process timely hint ask follow question accurately gauge skill shortlist qualified candidate role company invest time engage candidate
85,3279,Adagene,clinical stage biotech company specialize develop immuno oncology antibodie novel epitope proprietary increase success rate substantially accelerate time market reduce cost associate develop therapeutic antibody
86,321,Adallom,found cyber defense veteran cloud access security broker deliver visibility governance protection cloud application innovative platform simple deploy seamless user available saas base solution advanced heuristic back elite cybersecurity research team adallom make easy protect data cloud adallom abbreviation say ad halom literally mean line defense information visit follow
87,5787,Adaptate-Biotherapeutics,adaptate biotherapeutic company develop antibody modulate gamma delta t cells situ company found hayday headquartered
88,1290,Adbrain,adbrain global leader resolve customer identity marketer partner people place device
89,9851,ADC-Biotechnology,adc bio develop new process technology help drug developer meet conjugation process challenge test production new antibody drug conjugate anti cancer drug technology signal fast simple costly development exciting new family drug
90,10620,ADC-Therapeutics,adc therapeutic clinical stage oncology drug discovery development company focus advance highly potent target antibody drug conjugate adcs treatment hematological cancer solid tumor adcs develop late generation pyrrolobenzodiazepine dimer technology provide superior therapeutic index compare generation adcs preclinical study dimer potent toxin actively kill cancer cell differentiate mechanism action warhead commonly adcs
91,175,Addex-Therapeutics,therapeutic clinical stage pharmaceutical company focus development commercialization emerge class novel orally available small molecule drug know allosteric modulator neurological disorder allosteric modulator offer potential advantage conventional non allosteric molecule offer improve therapeutic approach conventional orthosteric small molecule biological drug allosteric modulator drug discovery platform target receptor protein recognize essential therapeutic intervention lead drug candidate dipraglurant negative allosteric modulator pivotal registration clinical trial parkinson disease levodopa induce dyskinesia pd lid investigate dipraglurant therapeutic use blepharospasm type dystonia clinical trial expect initiate clinical program positive allosteric modulator develop collaboration phase proof concept clinical trial treatment license s gabab program development drug candidate focus addiction preclinical program ongoing include gabab ptsd mild neurocognitive disorder parkinson disease neurodegenerative disorder
92,7440,AddiFab,supplier system integrate solution base proprietary printer system proprietary print resin process believe manufacturer good world deliver build new class printer optimize precision speed repeatability develop new class print tool resin transform world low volume injection mold time injection molder tool batch prototype spare part injection molding press low cost short lead time design freedom know printing have compromise selection material disposal softest rubber hard metal platform company lead ceo cto peter srensen coo great copenhagen area locate lead ceo
93,5062,Addition-Wealth,addition wealth holistic financial wellness platform empower employee smart informed financial decision take tech forward approach combine digital tool online event expert content access financial professional addition make personalized financial expertise inclusive accessible employee addition partner forward think employer help employee money
94,7784,Addworking,addworking handle management freelancer service provider company management platform
95,3020,Adepto,adepto piering way company view manage entire workforce ve create total talent ecosystem bring internal external worker place point solution complete solution start global operation tribe hard work dedicated diverse mind passionate create solution organisation people centre
96,8310,Adeptra,provide automate contact resolution service consumer credit risk management company offer auto resolution service way voice alert solution reach deliver customer communication voice fax pager text message email analytic analytic platform enable financial organization build consumer credit risk management strategy company provide industry specific solution business process fraud detection collection marketing serve financial institution card issuer bank mortgage lending loan utility market company strategic alliance fair isaac corporation know company found headquartered additional office norwalk
97,3863,Adept-Technology-Group,provider communication solution adept unite communication innovation use technology bring idea solution business help succeed simply deliver product service help business grow competitive increase profitability improve way communicate customer employee
98,3957,Adestra,empower client maximize marketing roi email drive technology year flexible account structure obsession customer success award win service gain trust global enterprise grow brand alike found principle marketing success take technology s customer service heart business service service office
99,5565,Adfenix,collect sense world real estate data platform estate agent empower help consumer journey buy new home offer quality advertising product relate service click button
100,6021,Adhara,software company build advanced liquidity management payment solution bank central bank consortium bank financial industry fnality solution base concept tokenization money cbdcs leverage smart contract standard financial grade blockchain technology solution include cbdc suite central bank specialized player issue digital currency different sort financial infrastructure platform orchestrate international cross currency payment process vs payment trading process capital market cbdcs tokenize money mean settlement real time liquidity management internal payment solution commercial bank client found company headquarter subsidiary cape town
101,5791,Adiana,engage development testing transcervical sterilization system permanent birth control develop complete tcs consist radiofrequency generator delivery catheter implantable matrix company found base subsidiary
102,6702,Adikteev,lead app engagement platform performance drive marketer consistently rank appsflyer performance index help world spend game app publisher increase retention reacquire churn user drive incremental revenue thank measure engagement strategy creative algorithm serve customer world office emea
103,4175,Adjug,online advertising marketplace connect buyer seller online advertising provide transparency control choice publisher control online inventory increase earning advertiser run well campaign know conversion traffic come found idea improve way advertising gets buy sell ad network connect advertiser publisher directly seek lead online advertising marketplace
104,9546,ADMA-Biologics,specialty immune globulin company develop manufacture intend market plasma base biologic target niche patient population treatment prevention certain infectious disease target patient population include immune compromise individual suffer underlie immune deficiency disease immune suppress medical reason operate biocenter fda license source plasma collection facility provide portion blood plasma manufacturing lead product candidate
105,10703,Adona-Medical,privately hold portfolio company innovate interventional approach heart failure complex progressive condition impact patient patient globally platform overcome shortcoming exist treatment option enable provider improve care heart failure patient
106,10053,Adrestia-Therapeutics,leader synthetic rescue approach decode complexity genetic network reveal new way treat disease
107,6666,Adsum,fintech company proprietary tech identify client tax credit maximize deliver client account handle entire reclaim process client focus investment growth headquarter found
108,3470,Advance-Intelligence-Group,ai drive technology company leverage innovative technology partnership build ecosystem product service serve consumer enterprise merchant
109,10212,Advantage-Club,provide ai drive platform intend drive employee engagement deliver program connect benefit brand organization client employee company intend provide end end solution facilitate meaningful client employee engagement exclusive privilege reward provide brand partner
110,2763,Ad-Venture,enable tv broadcaster serve audience accountable interactive highly target advertising single user basis product enable broadcaster frame accurately replace exist commercial ad spot target single audience member advertising inject use extend vast tracking tag accurately provide broadcaster advertiser return path datum directly user device service offer support interactive contextual overlay superimpose programme ad content example include advert purchasing unique coupon quiz poll location base information product trialle extensively commercial basis ready global roll
111,3735,Adverity,adverity fully integrate data platform automate connectivity transformation governance utilization data scale platform enable business blend disparate dataset sale finance marketing advertising create single source truth business performance automate connectivity datum source destination unrivaled datum transformation option powerful data governance feature adverity easy way datum want want need adverity found headquartered office currently work lead brand agency include unilever bosch ikea forbe groupm
112,6721,Adviva,operate online advertising network target brand advertiser behavioural contextual target technology connect advertiser consumer want reach
113,2430,Advizzo,want use behavioural science enrich people live insight household datum change way people think water gas electricity world preserve natural resource
114,3827,AD-Williams,operate accident repair group
115,29,Adyen,operate technology company brazil offer platform integrate gateway risk management processing acquire settlement payment directly connect merchant payment method sale channel include merchant online mobile point sale channel found headquarters
116,298,Adzuna,search engine job ad visitor month aim list job search website user not bring ad place provide smart search option powerful datum job market unique tool like valuemycv give jobseeker information need control career s datum power prime minister senior official track economic growth daily basis launch operate country great team class investor recently win award well crowdfunde round recognize government sunday time tech track fast grow tech company s mission good place start look job love awesome power technology help match people well fulfil job work
117,7489,AEA-Technology,lead energy climate change consultancy deliver visionary integrate environmental solution worldwide assist government evidence base policy development solve environmental challenge improve organisational performance
118,10,Aegerion-Pharmaceuticals,biopharmaceutical company engage development commercialization therapeutic pharmaceutical treat cardiovascular metabolic disease develop lomitapide microsomal triglyceride transfer protein inhibitor small molecule drug decrease serum lipid include cholesterol triglyceride treat atherosclerosis dyslipidemia obesity pancreatitis company focus product evaluation treatment hyperlipidemia incorporate headquarter
119,4364,Aeristech-Limited,engineer consultancy firm develop
120,7813,AeroFarms,world need help people live planet arable land need solution cultivate define future farming generation come solution transform agriculture people planet mind pier indoor vertical farming use proprietary technology grow produce water pesticide result portfolio product burst flavor taste nutritional value lead industry name fast companys innovative company top recognize matter fast company store scale award win brand technology world approach phase explosive growth seek passionate motivated individual join team group intellectually curious coworker expansive global operation change world mission resonate apply learn join change world grow good plant possible betterment humanity
121,6768,Aerones,aerone innovative company develop robotic technology wind turbine blade maintenance service company found headquarter
122,7038,Aeroseal,aeroseal climate tech company mission shrink carbon emission building building work live generate world carbon emission flagship product homeseal connect aerobarri connect seal small leak building wall hvac duct manual construction installation process leak accept issue aeroseal pressurize space inject non toxic sealant particle physics bring particle inaccessible imperceptible leak leak close software monitor entire process allow contractor dial tightness ve seal nearly project save waste energy breakthrough energy venture invest global network contractor use technology globe
123,9044,Aether-Bio,developer machine learn technology purpose enzyme order create new compound technology utilize machine learn combine high throughput robotic laboratory create entirely new compound reinvent production previously discover compound enable healthcare institutes chemical material need cheap sustainable company proprietary hardware allow massively parallelize experimentation generating dataset order magnitude large competition
124,2215,AFC-Wimbledon,afc wimbledon continuation long exist franchising league place team win notably rise dead look come home
125,6164,Affluent-Medical,develop innovative new generation mini invasive implant restore essential physiological function area aim prevent endoleaks risk recurrence abdominal aortic aneurysm allow patient live serenely face unpredictable risk breakage aim provide physiological surgical treatment repair replacement mitral valve heart treat residual post operative leakage recurrent mitral insufficiency have reoperate patient develop transcatheter valve restore natural blood flow safeguard leave ventricle finally artus electronically activatable artificial sphincter treat stress urinary incontinence man woman
126,4190,Aframe,aframe powerful simple use collaborative video production archive platform aframe allow professional move image creator brand archive broadcaster production company freelancer right idea finish piece aframe web browser plan store find deliver content document create individual clip finish programme searchable forever aframe allow eliminate physical hardware concentrate creative free work team base world aframe build scratch answer need professional production community prepare view world move online heart lie completely new way log metatagge video fast detailed currently possible allow aframe metatag live near live video aframe storage system multiple datacentre base
127,754,Africa-Logistic-Properties,integrate property investment development property company dedicate modern grade logistic industrial sector management team include senior property professional industrial investment experience emerge market back global institutional investor
128,780,Afrocenchix,afro haircare market grow fast big player not understand customer problem ve problem customer centric datum drive approach help formulate manufacture sell bottle safe effective product far award win product feature publication indy good list average star review customer getting start
129,937,Agamon,healthcare platform use advanced technique structure clinical text surface critical insight transform clinical datum knowledge unleash power previously unused medical document drive dramatic advancement healthcare medicine result increase revenue reduce risk liability automate workflow improve patient satisfaction s proprietary technology use advanced technique structure clinical text unlock critical insight team intellectually curious technologist doctor entrepreneur power innovation healthcare industry unite single mission transform clinical datum knowledge
130,5924,Agar-Scientific,lead manufacturer distributor scientific laboratory equipment focus electron microscopy consumable alan company enjoy global recognition provider high quality component excellent customer service
131,10408,Agilyx,believe time right expand advanced recycling give post use plastic new circular life convert valuable material original building block reuse enable plastic circularity global commercial scale aim play vital role accelerate shift low carbon economy co found waste plastic management company work directly industry participant engineer customize plastic recovery program supply advanced chemical recycling facility
132,6158,AGNITiO,agnitio worldwide market leader product agnitio government organization prevent crime identify criminal provide evidence court agnitio extensive customer base include lead police intelligence military government organization country agnitio product number lead customer partner contact center financial service telecommunication enterprise security sector
133,4453,AgPlus-diagnostics,develop diagnostic platform technology deliver demand market requirement true quantitative product use wide range clinical application
134,6848,AgraQuest,leader innovative biological low chemical pest management solution forefront shift food grow focus discover develop manufacturing marketing highly effective biological low chemical pest disease control yield enhance product agricultural home garden food safety market bioinnovation division provide customer partner tool create value enhance solution direct sale force crop protection market sell product network distributor partner global region non agriculture relate market division redefine agrochemical industry introduction effective innovative environmentally responsible pest disease control product service premier supplier proprietary datum drive biological low chemical technology unlike conventional pesticide petroleum base synthetic chemical s product produce renewable bio base material s bioinnovation division develop cut edge technology use seed treatment food safety post harvest disease control animal health hygiene human nutrition home garden structural pest control vector control additional application s technology lie area diverse detergent cosmetic healthcare
135,6875,Agriconomie,agtech e commerce company provide farmer variety online tool include purchase support personalize advice information source share input supplier offer datum service advertising software division company found paolin pascot
136,9245,AgriWebb,software company focus livestock production industry product enable simplified farm data collection analysis improve management efficiency decision make benchmarke transparency integrate horizontal vertical supply chain s founder come generation livestock production aim transform livestock industry datum drive decision make build intuitive farm datum recording
