Unnamed: 0,id,name,cb_description,assigned_industry
33,1382,AarogyaAI,aarogyaai artificial intelligence base software service diagnose drug resistant tuberculosis aarogyaai use dna sequence patient upload machine learn algorithm give output report comprehensive drug susceptibility status patient,Longevity
34,6718,Aarohi-communication,aarohi develop generation storage component processor system supplier,Industrial IoT
35,5266,Abacum,abacum saas help finance team deliver business insight abacum collaborative workflow planning platform finance team boost productivity strategic impact company believe empower people good collaborative tool multiply strategic impact organization fulfil,DeFi
36,258,Abacus.AI,artificial intelligence research cloud service company help organization design train operationalize machine deep learning model allow organization plug play deep learning system exist customer experience business process company found base,Generative AI
37,3853,Abacus-e-Media,abacus e medium bring digital expertise industry specialist creative thinking design build website work believe develop technical solution forge commercial objective business brand strategy produce interactive engage user experience,EdTech
38,6113,ABA-English,lead learn student worldwide headquarter talented team compose professional country stand unique methodology combine technology pedagogy interaction real teacher mission guide student learn journey empower effective tool achieve goal quickly efficiently recognize good educational app award feature educational app,EdTech
39,5024,ABAKA-Holdings,world digital save retirement enterprise saas platform power artificial intelligence innovative technology enable financial institution power digital saving retirement solution deliver scalable affordable advice pension saving investment retail customer s library modular application help enterprise client power conversational ai personalise behavioural nudge big data insight financial dashboard outstanding customer experience people access technology client technology license tier international bank pension provider asset manager multiple country s enterprise solution enable financial institution power pension saving investment fully digital hybrid advice proprietary model vast quantity user behavioural financial datum intelligently manage human like conversation machine learning model identify persona segmentation power personalise insight nudge increase engagement sell opportunity digital channel financial dashboard data aggregation technology power retirement planning cash flow model suitability assessment simulation outcome scenario drive advice,DeFi
40,10663,ABAX,developer supplier tracker system software technology business operate company vehicle product world lead respective field help numerous customer reduce overall fuel spend company vehicle eliminate risk tax penalty,Platforms
41,4034,Abbey-Pharma,found manufacture distribute sell prescription counter product,Food & Beverage
42,6511,Abcodia,biotechnology company focus discovery validation biomarker cancer screen unique longitudinal serum biobank partnership technology platform provider lead commercial diagnostic company able support end end diagnostic development process found base uk,Genomics
43,2,Abe's-Market,online marketplace give natural product entrepreneur platform showcase product tell unique story,Social Networks
44,9786,Abhi,abhi financial wellness platform provide employee salary advance base accrue wage abhi salary advance app plan change game people spend money allow user withdraw portion accrue salary bank account help employer reduce workload hr finance department facilitate employee need abhi found base,InsurTech
45,4155,Abiquo-Group,abiquo original pioneer cloud compute early start man year engineering effort allow build broadest deep hybrid cloud management software solution available market today design ground strategic solution meet need customer unlike solution abiquo specifically architecte hardware hypervisor independent start tremendous advantage today hybrid cloud environment timeline abiquo cloud management software support multiple infrastructure type version grow manage hybrid cloud environment premise hypervisor container public cloud,Blockchain
46,3255,ABK-Biomedical,combine clinical market biomaterial specialize improve treatment option patient hypervascular tumor company dedicated transform interventional radiology procedure call embolization,Genomics
47,5750,Ablynx,ablynx biopharmaceutical company engage discovery development nanobodie novel class therapeutic protein base single domain antibody fragment range human disease include inflammation haematology oncology pulmonary disease approximately project pipeline nanobodie clinical development,Longevity
48,3527,Abogen-Biosciences,abogen bioscience discovery stage biotechnology company focus develop nucleic acid base dna therapeutic treatment cancer infectious disease,BioTech
49,7990,Abokado,own operate chain food bar restaurant offer sushi wraps breakfast juice smoothie drink cake fruit salad soup stir fry food supply lunch company wife found headquarters,Retail
