,name,cb_description,highest_scored_cluster,top_matched_cluster_keywords
10,24SevenOffice,24sevenoffice offer fully integrate ajax power crm erp web application sme market module include accounting crm invoicing project management file management e mail addition product extend service partner bank payroll accounting firm voip integration webex](/organization webex host company market norway sweden uk invoice accounting module customize use market,0,"bank, company, file, management, uk, host, sme, market, web, mail, erp, crm, e, payroll, invoice, invoicing, accounting, power, service, partner, application, voip, offer, firm, webex"
11,Jiffy.ai,software company offer ai power intelligent integrate platform modern day digital enterprise help business automate task intelligent robot detect adapt automate scenario base change allow organization utilize staff productively have worry task critical add value system right processing unstructured datum capture different format make cognitive decision nlp ml base algorithm jiffyrpa help customer achieve close 90+% automation significant traditional rpa solution rule base achieve low automation level complex process,1,"process, capture, task, software, algorithm, ai, processing, automation, digital, automate, robot, detect, system, intelligent"
12,Gemfire,gemfire corporation combine entrepreneurial atmosphere extensive technology base found gemfire specialize apply planar semi conductor type processing technology create optical solution system integrator innovative new family high performance telecom specialty component currently company primary operation livingston scotland near edinburgh aerospace support operation additional telecom manufacturing capability fremont california,1,"component, solution, combine, semi, base, integrator, conductor, capability, gemfire, operation, processing, planar, aerospace, apply, system, create"
13,Jobandtalent,jobandtalent demand staff marketplace aim labor market liquid transparent help company hire flexible way mission reduction unemployment world labor market evolve structured state extremely flexible company demand flexibility result growth liquidity market flexible state labor market leave worker vulnerable unprotected employment situation jobandtalent create workforce service waas platform order labor flexibility beneficial company worker alike company office uk spain germany sweden mexico colombia plan expansion france italy end year,0,"labor, workforce, unemployment, hire, worker, employment, jobandtalent"
14,360-Logistics,"logistics total supplier party logistic online store automate fulfillment center middle oslo deliver market fast precise logistic service business owner concentrate growth online store logistics norway automate 3pl operator annual shipment fulfillment center oslo currently warehouse area ​​5,000 m2 autostore box employee",0,"logistics, shipment, deliver, service, fulfillment, box"
15,3rd-Eye-Studios,eye studio collection technology movie tv game industry veteran build atmospheric sophisticated game groundbreake technology tool game developer locate helsinki shanghai eye studio found june group game industry veteran previously work senior position company like remedy entertainment unity technology bugbear entertainment redlynx moon studio,1,"company, unity, industry, build, sophisticated, studio, helsinki, work, tool, technology, collection, position, redlynx, found, remedy, locate, veteran, developer, groundbreake"
16,3TEMP-AB,3temp ab design develops sell service tool equipment coffee industry high quality segment 3temp ab head office locate arvika sweden receive knowledge support investment develop manufacture market high end drip filter coffee brewer segment worth us$ 8.4bn year team today include people industry experience commercial knowledge elevate startup position dominant player drip filter coffee brewer segment,2,"quality, sell, industry, market, design, knowledge, brewer, manufacture, develops, equipment, service, tool, startup, develop, experience, locate, include, commercial"
17,4Subsea,4subsea lead provider technology service help operator maintain production subsea oil gas field offshore wind farm combine expert engineering competence practical experience digital service ensure integrity subsea asset way reservoir deck company found client include major oil gas operator large supplier subsea equipment 4subsea deliver solution unique digital platform aim forefront digitise oil gas offshore wind operation worldwide,0,"major, offshore, reservoir, oil, subsea, worldwide, wind, large"
18,A3P-Biomedical,a3p biomedical provide prostate cancer diagnosis treatment specialize advanced prostate cancer diagnostic main product stockholm3 clinically commercially validate blood test early detection aggressive prostate cancer test combine protein marker genetic marker clinical data proprietary algorithm purpose detect aggressive prostate cancer early stage,0,"cancer, clinical, prostate, treatment, biomedical, clinically, diagnostic, diagnosis, blood"
19,AAC-Microtec,åac microtec primarily provide space solution system commercial governmental educational customer sweden united states company develop manufacture sell microelectronic system small spacecraft offer development tool include virtual system integration equipment jtag debugger flat satellite obc lite µrtu nanortu development kit company provide 1u 6u satellite system sub system rapid integration architecture product space wire avionic power product µpol pol arte,1,"kit, jtag, rapid, wire, microtec, equipment, avionic, tool, arte, nanortu, µpol, µrtu, system, microelectronic, debugger, architecture"
20,Nature’s-Fynd,nature fynd food company produce protein microbe discover geothermal spring company mission create food nourish people planet revolutionary fermentation technology grow protein fraction land water resource require traditional agriculture nature fynd found headquartered chicago illinois,0,"agriculture, microbe, food, fermentation, produce"
21,Aalbun-Ltd,aalbun innovation intellectual property legaltech startup found disrupt intellectual property space aalbun service tool power secure digital platform act single pane glass request service innovation intellectual property need combine fix pricing model mission democratise simplify process innovation enable innovator change world aalbun trust patent filer world name legaltech startup uk,2,"patent, innovation, startup, legaltech, innovator, intellectual"
22,Kaptivo,kaptivo use ai visual collaboration easier efficient kaptivo remote meeting include live stream whiteboard content augment capability include automatic note take kaptivo remote meeting include live stream whiteboard content augment capability include automatic note take business school use kaptivo conjunction zoom cisco webex microsoft team slack collaboration tool improve productivity keep content secure,0,"efficient, automatic, improve, capability, ai, easier"
23,Aapiable.io,api portal service customer developer partner apiable portal support multiple heterogeneous api gateway time allow connect organization gateway require developer touchpoint use pre build adaptor connect exist api management system s create new api product combine apis meet business need,2,"gateway, connect, apiable, api, apis, portal"
24,Aava-Mobile,aava mobile found spring team industry expert strong background mobile platform development original design equipment manufacturer aava mobile open platform provide flexibility oem mobile operator incorporate i d user interface content service let oem operator customize device easily differentiate competitor,2,"manufacturer, industry, design, operator, oem"
25,abeo,abeo focus understanding meet unique need anesthesiologist goal consistently deliver level personal service start business sophistication require today complex healthcare environment dedicate increase revenue sophisticated billing management technology available want spend time worry manage practice spend time enjoy life,0,"business, management, manage, service, healthcare, worry, anesthesiologist"
26,Absolicon-Solar-Concentrator,absolicon solar concentrator ab produce install solar energy system offer solar concentrator collector company provide x10 produce electricity heat hot tap water heating heat power air conditioning desalination process heat application product photovoltaic thermal application hotel hospital apartment building sport center industry airport restaurant supermarket southern europe absolicon solar concentrator ab found base hã¤rnã¶sand sweden,2,"hot, heat, electricity, photovoltaic, energy, heating, thermal, conditioning, solar"
27,Abzu,abzu bear desire challenge fundamental assumption contemporary black box ai abzu pioneer artificial intelligence qlattice accelerate analysis insight transparent explainable model inspire datum scientist scientific found january abzu office copenhagen denmark barcelona spain,0,"desire, pioneer, explainable, insight, abzu, model, scientist, accelerate, challenge, office, datum, contemporary, black, bear, inspire, analysis, january, transparent, qlattice, found, scientific, box, fundamental"
28,Academica,academica provide company necessary infrastructure service enable company focus core competency grow business academica enhance company employee daily work dependability advanced solution bring significant cost saving company operation life cycle cost,0,"solution, grow, focus, necessary, enhance, enable, significant, saving, core, infrastructure, operation, provide, competency, bring, work, academica, advanced, cost, dependability"
29,Acadia-Pharmaceuticals-Inc.,acadia pharmaceuticals inc . biopharmaceutical company focus development commercialization small molecule drug treatment central nervous system disorder company maintain wholly own subsidiary acadia pharmaceuticals ab base malmo sweden acadia pharmaceutical s base denmark company develop portfolio consist product candidate include compound pimavanserin develop separate neurological psychiatric indication collaboration biovail laboratory international srl biovail subsidiary biovail corp . indications parkinson disease psychosis phase iii development adjunctive therapy schizophrenia alzheimer disease psychosis initiate phase ii feasibility study,2,"product, company, pharmaceutical, corp, inc, biovail, drug, commercialization, subsidiary, biopharmaceutical, pharmaceuticals, laboratory, molecule, system, compound, ab"
