id,name,cb_description,industry1,score1,industry2,score2,industry3,score3
3918,3sun-Group,limited subsidiary provide hydraulic control instrumentation product service oil gas sector worldwide furthermore offer skilled technician installation servicing wind turbine offshore application onsite testing inspection service oil gas renewable asset technical vocational training service united kingdom europe limited found base great yarmouth united kingdom,Industrial IoT,0.272,Human Resources,0.268,RegTech,0.267
1767,40-Partners-Ltd,produce talent broadcaster brand short form feature length studio go bit different hopefully game changer talent stay touch course year,Entertainment,0.448,Gaming,0.305,Esports,0.294
1351,42Lab,modular portable affordable biotech laboratory student science technology engineering mathematic stem education require oecd country school struggle introduce biotechnology student high equipment cost troublesome experiment preparation solve problem provide portable modular biotech equipment student conduct experiment companion app serve electronic manual student management tool teacher vision bring biotech experience student like raspberry pi computer science,EdTech,0.376,AgTech,0.325,Deep Tech,0.295
8307,4-Antibody-AG,antibody ag develop human antibody drug discovery platform generate antibody therapeutic focus immuno oncology technology platform retrocyte display design generate therapeutic antibody drug candidate incorporate human antibody library express mammalian b lineage lymphocyte company develop preclinical checkpoint antibody program target gitr antibody ag found base basel switzerland,BioTech,0.522,Life Sciences,0.453,Longevity,0.294
6524,5Mins,s gamified learn platform design help employee improve skill curate short form video content lead creator world make available team business adaptive gamifie learn engine,EdTech,0.562,Gaming,0.466,Creator Economy,0.379
1504,7bridges,smart logistic platform deliver visibility control logistic process unify data operation enable access global supplier ecosystem world class sustainable logistic operation rapidly achievable reality platform realize future proof sustainable logistic scalable competitive profit growth drive edge,E-commerce,0.429,Supply Chains,0.422,Physical Storage,0.407
4084,7digital,global leader end end digital music solution core business provision robust scalable technical infrastructure extensive global music right create music streaming radio service diverse range customer include consumer brand mobile carrier broadcaster automotive system record label retailer offer radio production music curation service editorial strategy content management expertise,Entertainment,0.424,MarTech,0.421,Creator Economy,0.42
432,7TM-Pharma,pharma biotech company discover develop drug primary therapeutic focus diabetes gastrointestinal metabolic asthma vascular disease company offer transmembrane span receptor include small molecule receptor antagonist npy selective agonist gastrointestinal disorder short bowel syndrome antagonist oral drug inflammatory respiratory disease pharma found base lyngby hovedstaden,Life Sciences,0.497,BioTech,0.429,Genomics,0.226
3403,8fit,app help build healthy habit life simple solution support user worldwide individual journey healthier happy life push progress perfection choose good solution quick fix enjoy journey healthiest mind body understand obstacle people face fitness journey not easy s size fit way find lifelong health s building engage approachable way people achieve personal fitness goal,Happiness & Wellbeing,0.477,Sport & Wellness,0.435,SexTech,0.34
28,8tracks-Radio,internet radio social network streams user curate song playlist contain track handcraft internet radio network social alternative pandora listener tune online mixtape track curate people know love music stream legal radio style manner,Creator Economy,0.424,Video/Audio,0.37,Media,0.341
1382,AarogyaAI,aarogyaai artificial intelligence base software service diagnose drug resistant tuberculosis aarogyaai use dna sequence patient upload machine learn algorithm give output report comprehensive drug susceptibility status patient,Life Sciences,0.398,Healthcare,0.341,Health Tech,0.327
5266,Abacum,abacum saas help finance team deliver business insight abacum collaborative workflow planning platform smb finance team boost productivity strategic impact company believe empower people good collaborative tool multiply strategic impact organization fulfil,Future of Work,0.4,Productivity,0.393,Economic Empowerment,0.386
258,Abacus.AI,abacus ai artificial intelligence research cloud service company help organization design train operationalize machine deep learning model allow organization plug play deep learning system exist customer experience business process company found base san francisco california,RegTech,0.442,LegalTech,0.41,Automation,0.403
3853,Abacus-e-Media,abacus e medium bring digital expertise industry specialist creative thinking design build website work believe develop technical solution forge commercial objective business brand strategy produce interactive engage user experience,EdTech,0.453,MarTech,0.445,Design,0.436
6113,ABA-English,aba english lead digital academy english learning student worldwide headquartered barcelona talented team compose professional country aba english stand unique methodology combine technology pedagogy interaction real teacher mission guide student learn journey empower effective tool achieve goal quickly efficiently aba english recognize good educational app reimagine education award feature apple google educational app,EdTech,0.521,Economic Empowerment,0.322,Human Resources,0.242
10663,ABAX,abax developer supplier car logbook car tracker system fleet control software equipment control technology business operate company vehicle product world lead respective field help numerous customer reduce overall fuel spend company vehicle eliminate risk tax penalty,Automotive,0.409,RegTech,0.408,Logistics,0.404
6511,Abcodia,abcodia biotechnology company focus discovery validation biomarker cancer screen unique longitudinal serum biobank partnerships ucl technology platform provider lead commercial diagnostic company abcodia able support end end diagnostic development process abcodia found base cambridge uk,Life Sciences,0.46,BioTech,0.319,Professional Services,0.274
9786,Abhi,abhi financial wellness platform provide employee salary advance base accrue wage abhi salary advance app plan change game people spend money allow user withdraw portion accrue salary bank account help employer reduce workload hr finance department facilitate employee need abhi found base pakistan,Professional Services,0.415,Economic Empowerment,0.4,Human Resources,0.387
3255,ABK-Biomedical,abk biomedical combine clinical market biomaterial specialize improve treatment option patient hypervascular tumor company dedicated transform interventional radiology procedure call embolization,Healthcare,0.269,Life Sciences,0.247,Health Tech,0.213
5750,Ablynx,ablynx biopharmaceutical company engage discovery development nanobodie novel class therapeutic protein base single domain antibody fragment range human disease include inflammation haematology oncology pulmonary disease today company approximately project pipeline nanobodie clinical development,Life Sciences,0.475,BioTech,0.469,Nano,0.369
3527,Abogen-Biosciences,abogen bioscience discovery stage biotechnology company focus develop nucleic acid base rna dna therapeutic treatment cancer infectious disease,Life Sciences,0.549,BioTech,0.539,Genomics,0.351
7990,Abokado,abokado own operate chain food bar restaurant united kingdom offer sushi wraps breakfast juice smoothie drink cake fruit salad soup stir fry asian food abokado supply lunch company mark lilley wife lindsey found headquarters london united kingdom,Food & Beverage,0.361,Physical Storage,0.216,Retail,0.213
3174,AbsolutData,absolutdata consulting orient analytic research firm number fortune client wide variety industry country navik ai platform enterprise blend ai technology datum analytic serve intelligence layer forward think company,LegalTech,0.494,Future of Work,0.453,RegTech,0.446
3436,Acacia-Pharma,acacia pharma pharmaceutical company discover develop supportive care drug company focus cancer supportive care product include injectable formulation oral drug use nausea vomiting use cancer cachexia intravenous formulation use prevention treatment nausea vomiting company concentrate discovery effort cancer relate fatigue cancer cachexia xerostomia acacia pharma incorporate base cambridge united kingdom,Life Sciences,0.33,Beauty,0.312,BioTech,0.292
4672,ACAL-Energy,acal energy developer fuel cell system module consumable chemical range use include stationary residential automotive application require large kw power innovative design deliver substantial cost saving fuel cell system performance improvement pem proton exchange membrane accelerate adoption pem fuel cell technology key market,Energy Storage,0.351,Electrification,0.347,Energy Efficiency,0.324
739,Accelerated-Payments,accelerated payment enable sme expand grow allow advance cash specific individual invoice accelerate payment create entrepreneur year experience financial service start run business,E-commerce,0.441,Economic Empowerment,0.431,FinTech,0.422
4924,AccelerComm,accelercomm exciting semiconductor ip core company provide solution accelerate generation wireless communication rel rel technology solve bottleneck limit speed generation wireless communication error correction decode required overcome effect noise interference poor signal strength,IoT,0.333,Manufacturing,0.292,Hardware,0.282
6388,Access-Bank,access bank provide banking product service individual business customer ghana offer standard saving current access advantage solo premier account company provide online banking service include atm online access point sale terminal service bill payment western union money transfer service,FinTech,0.45,Payments,0.376,E-commerce,0.362
6483,AccessFintech,accessfintech offer risk management service bank buyside firm track trade lifecycle help firm track trade lifecycle true sense prioritize risk increase number system access fintech bring fintech providers house technology orchestrate interaction distribute provider create single visual display risk financial transaction global sharable view,FinTech,0.44,RegTech,0.415,Payments,0.341
10138,Access-Intelligence,access intelligence b b medium information company headquarter rockville serve energy defense healthcare management chemical satellite aviation cable medium public relation market,RegTech,0.347,Physical Storage,0.297,Food & Beverage,0.297
3427,Accuri-Cytometers,accuri cytometer found address compelling need life scientist love rapid cell cell analysis capability flow cytometer flow cytometer lab barrier researcher include cost instrument complexity software effort require maintenance large bench space require instrument result company look develop affordable robust cytometer,Longevity,0.31,AgTech,0.247,MedTech,0.245
10601,Accutrainee,accutrainee found run solicitor understand legal industry challenge deliver legal service client critical need commercial approach whilst stay sensitive partnership ethos profession understand trainee process having experience hand,LegalTech,0.469,Professional Services,0.417,E-commerce,0.309
8817,AccuVein,accuvein specialize vein visualization technology flagship product hand hold non contact vein illumination solution allow healthcare professional map peripheral vein skin surface goal access avoid vein build proprietary technology embody grow patent portfolio cover broad range image medical diagnostic technology company found headquartered medford new york,MedTech,0.396,Beauty,0.335,Healthcare,0.332
7247,Acea-Health,acea health digital healthcare company develop application call flynote new digital consent platform flynote analyse number factor include patient background deliver personalise risk benefit flynote aim solution consent healthcare,Health Tech,0.395,Healthcare,0.352,FinTech,0.35
6553,Acesion-Pharma,acesion pharma developer medical drug design treatment atrial fibrillation company medical drug develop treatment atrial fibrillation common type cardiac arrhythmia follow concept inhibit type ion channel heart cell involve generate electrical signal regulate heart rhythm provide consumer chronic treatment prevent recurrence af maintain normal heart rhythm,Life Sciences,0.339,BioTech,0.311,Healthcare,0.302
6532,Achilles-Therapeutics,achille therapeutic developer immunotherapy intend offer generation patient specific therapy treat cancer company immunotherapie harness immune system destroy cancer cell target truncal tumor neo antigen flag immune system present surface cancer cell enable scientist target destroy tumor harm healthy tissue,BioTech,0.418,Life Sciences,0.318,Longevity,0.252
7485,Achillion-Pharmaceuticals,achillion drive transform live patient family affect disease complement system integral innate immune system scientific clinical evidence implicate complement system specifically complement alternative pathway ap numerous devastating disease condition principal focus achillion advance clinical stage portfolio orally administer factor d inhibitor late stage development potential commercialization patient devastating disorder complement system,BioTech,0.306,Life Sciences,0.291,Gut Microbiome,0.228
10086,Acousticeye,acousticeye establish tal pechter noam amir bring acoustic technology ndt non destructive testing industry company develop manufacturer market mobile embed tube inspection device acousticeye patent pende technology offer accurate rapid single point inspection inaccessible tube company dolphin system unique ability quickly find accurately locate defect complex tube system regardless material need physically traverse probe tube,MedTech,0.316,OceanTech,0.295,Healthcare,0.283
10194,Acre,acre rebuild uks mortgage market ground vertically integrate mortgage stack new end end platform broker lender,Economic Empowerment,0.231,FinTech,0.213,Cloud Ops,0.209
4981,AcreTrader,acretrader agricultural real estate invest platform help buyer buy share farmland online platform acretrader provide transparency flexibility ease use people want invest farmland handling aspect administration property management insurance account work local farmer improve soil sustainability company found headquartered fayetteville arkansas,AgTech,0.446,PropTech,0.384,Sharing Economy,0.29
3893,ACS-Clothing,acs provider men hirewear lead retailer uk ireland wtih extensive range formalwear highlandwear provide outfits wearer year range garment available hire found company grow year proud supply large menswear retailer uk,Fashion,0.401,Retail,0.398,Procurement,0.358
7159,Actionality,actionality offer mobile marketing technology solution company adflextm platform enable user develop mobile commercial standardized format campaign logic support update rotation modification interaction reporting serve advertiser mobile operator content providers asia europe company found base munich germany sale office berlin germany hong kong hong kong july actionality subsidiary yahoo,AdTech,0.33,MarTech,0.326,Mobile,0.318
3073,Actronika,actronika build haptic platform enable seamless system integration actronika leader haptics technology provide cut edge vibrotactile module integrate client system actronika develop human machine interface solution patent haptic technology human bear touch order form relationship learn engaged environment face digitize world mission engage people tangible material experience hardware software possible,Future of Work,0.348,EdTech,0.286,Industrial Tech,0.284
20,Acutus-Medical,acutus medical develop medical technology treat complex cardiac arrhythmia company platform display heart true activation pattern turn chaos complex arrhythmia clear vision electrophysiologists acutus medical privately fund company found base carlsbad california products co develop europe exceptional team medical scientist biomedical engineer professional found headquartered carlsbad california,Life Sciences,0.307,LegalTech,0.285,Healthcare,0.282
1262,Adaface,adaface build conversational ai ada round tech interview candidate love interview turn ada analyse candidates think process timely hint ask follow question accurately gauge skill ada shortlist qualified candidate role company invest time engage candidate,Search,0.364,Human Resources,0.355,RegTech,0.333
3279,Adagene,adagene clinical stage biotech company specialize develop immuno oncology antibodie novel epitope proprietary smart antibody technology increase success rate substantially accelerate time market reduce cost associate develop therapeutic antibody,BioTech,0.48,Life Sciences,0.414,Longevity,0.277
321,Adallom,found cyber defense veteran adallom gartner cool vendor cloud access security broker deliver visibility governance protection cloud application innovative platform simple deploy seamless user available saas base prem solution power smartengine advanced heuristic back elite cybersecurity research team adallom make easy protect data cloud adallom abbreviation hebrew say ad halom literally mean line defense information visit follow,Cybersecurity,0.46,Cloud Computing,0.444,RegTech,0.429
5787,Adaptate-Biotherapeutics,adaptate biotherapeutic company develop antibody modulate gamma delta t cells situ company found adrian hayday headquartered london,BioTech,0.346,Longevity,0.289,Life Sciences,0.259
9851,ADC-Biotechnology,adc bio develop new process technology help drug developer meet conjugation process challenge test production new antibody drug conjugate anti cancer drug technology signal fast simple costly development exciting new family drug,Life Sciences,0.541,BioTech,0.518,Longevity,0.339
10620,ADC-Therapeutics,adc therapeutic clinical stage oncology drug discovery development company focus advance highly potent target antibody drug conjugate adcs treatment hematological cancer solid tumor adcs develop late generation pyrrolobenzodiazepine pbd dimer technology provide superior therapeutic index compare generation pbd adcs preclinical study pbd dimer potent toxin actively kill cancer cell differentiate mechanism action warhead commonly adcs,Life Sciences,0.474,BioTech,0.463,Psychedelics,0.304
5062,Addition-Wealth,addition wealth holistic financial wellness platform empower employee smart informed financial decision take tech forward approach combine digital tool online event expert content access financial professional addition make personalized financial expertise inclusive accessible employee addition partner forward think employer help employee money,FinTech,0.429,Professional Services,0.422,Economic Empowerment,0.412
3020,Adepto,adepto pioneering way company view manage entire workforce ve create total talent ecosystem bring internal external worker place point solution complete solution start brisbane australia global operation tribe hard work dedicated diverse mind passionate create solution organisation people centre,Future of Work,0.423,Human Resources,0.403,Economic Empowerment,0.343
3863,Adept-Technology-Group,adept technology group plc provider communication solution adept unite communication innovation use technology bring idea solution business help succeed simply deliver product service help business grow competitive increase profitability improve way communicate customer employee,Communications,0.354,Future of Work,0.34,Retail,0.321
3957,Adestra,adestra empower client maximize marketing roi email drive technology year flexible account structure obsession customer success award win service gain trust global enterprise grow brand alike found principle marketing success take technology s customer service heart business software service software service adestra office dallas oxford london sydney boston,MarTech,0.508,AdTech,0.477,Sharing Economy,0.425
5565,Adfenix,adfenix collect sense world real estate datum adfenix platform estate agent empower help consumer journey buy new home offer quality advertising product relate service click button,AdTech,0.469,Platforms,0.43,MarTech,0.382
5791,Adiana,adiana engage development testing transcervical sterilization system permanent birth control develop complete tcs consist radiofrequency generator delivery catheter implantable matrix company found base redwood city california march adiana subsidiary cytyc,MedTech,0.368,Healthcare,0.34,FemTech,0.306
6702,Adikteev,adikteev lead app engagement platform performance drive marketer consistently rank appsflyer performance index adikteev help world spend game app publisher increase retention reacquire churn user drive incremental revenue thank measure engagement strategy creative algorithm adikteev serve customer world office emea,MarTech,0.431,Sharing Economy,0.393,Platforms,0.38
4175,Adjug,adjug online advertising marketplace connect buyer seller online advertising provide transparency control choice publisher control online inventory increase earning advertiser run well campaign know conversion traffic come adjug found satish jayakumar michael stephanblome idea improve way advertising gets buy sell ad network connect advertiser publisher directly adjug seek europe lead online advertising marketplace,AdTech,0.581,Mobile,0.426,MarTech,0.424
9546,ADMA-Biologics,adma specialty immune globulin company develop manufacture intend market plasma base biologic target niche patient population treatment prevention certain infectious disease companys target patient population include immune compromise individual suffer underlie immune deficiency disease immune suppress medical reason adma operate adma biocenter fda license source plasma collection facility provide portion blood plasma manufacturing company lead product candidate,BioTech,0.39,Life Sciences,0.358,AdTech,0.325
10703,Adona-Medical,adona medical privately hold portfolio company shifame innovate interventional approach heart failure complex progressive condition impact approximately patient patient globally adona platform overcome shortcoming exist treatment option enable provider improve care heart failure patient,Healthcare,0.292,Happiness & Wellbeing,0.285,AdTech,0.274
6666,Adsum,adsum fintech company proprietary tech identify client tax credit maximize deliver client account hour handle entire reclaim process client focus investment growth adsum headquarter london england found,AdTech,0.426,Platforms,0.413,FinTech,0.369
3470,Advance-Intelligence-Group,advance intelligence group ai drive technology company asia pacific found leverage innovative technology partnership build ecosystem product service serve consumer enterprise merchant,RegTech,0.479,Platforms,0.434,LegalTech,0.434
10212,Advantage-Club,advantage club provide ai drive platform intend drive employee engagement deliver program connect benefit brand organization client employee company intend provide end end solution facilitate meaningful client employee engagement exclusive privilege reward provide brand partner,Human Resources,0.47,Sharing Economy,0.435,Future of Work,0.405
6721,Adviva,adviva operate european online advertising network target brand advertiser behavioural contextual target technology adviva connect advertiser european consumer want reach,AdTech,0.595,Mobile,0.436,MarTech,0.416
2430,Advizzo,want use behavioural science enrich people live insight household datum change way people think water gas electricity world preserve natural resource,Happiness & Wellbeing,0.28,Energy Efficiency,0.271,Infrastructure Tech,0.258
29,Adyen,adyen operate technology company netherlands brazil singapore united kingdom canada australia south korea hong kong mexico china new zealand malaysia india japan united states offer adyen platform integrate gateway risk management processing acquire settlement payment directly connect merchant visa mastercard payment method sale channel include merchant online mobile point sale channel pieter van der found adyen headquarters amsterdam netherlands,Retail,0.341,Professional Services,0.338,AdTech,0.325
7489,AEA-Technology,aea lead energy climate change consultancy deliver visionary integrate environmental solution worldwide assist government evidence base policy development solve environmental challenge improve organisational performance,Energy Efficiency,0.396,Climate Tech/CleanTech,0.379,Carbon Capture,0.345
10,Aegerion-Pharmaceuticals,aegerion pharmaceutical biopharmaceutical company engage development commercialization therapeutic pharmaceutical treat cardiovascular metabolic disease develop lomitapide microsomal triglyceride transfer protein inhibitor small molecule drug decrease serum lipid include cholesterol triglyceride treat atherosclerosis dyslipidemia obesity pancreatitis company focus product evaluation treatment hyperlipidemia aegerion pharmaceutical incorporate headquartered bridgewater new jersey,Life Sciences,0.417,BioTech,0.297,Food & Beverage,0.265
6768,Aerones,aerone innovative company develop robotic technology wind turbine blade maintenance service company found headquartered san jose california united states,Deep Tech,0.373,Industrial Tech,0.314,Future of Work,0.294
9044,Aether-Bio,aether bio developer machine learn technology purpose enzyme order create new compound technology utilize machine learn combine high throughput robotic laboratory create entirely new compound reinvent production previously discover compound enable healthcare institutes chemical material need cheap sustainable company proprietary hardware allow massively parallelize experimentation generating dataset order magnitude large competition,Deep Tech,0.406,Life Sciences,0.387,BioTech,0.379
2215,AFC-Wimbledon,afc wimbledon continuation wimbledon football club long exist franchising league place milton keynes team win fa cup notably rise dead look come home plough lane,Esports,0.254,Travel,0.155,Longevity,0.148
754,Africa-Logistic-Properties,africa logistics property alp integrated property investment development property company dedicate modern grade logistic industrial sector africa base nairobi management team include senior property professional year industrial investment experience emerge market alp back global institutional investor,Supply Chains,0.439,Transportation,0.381,Physical Storage,0.352
780,Afrocenchix,afro haircare market grow fast big player not understand customer problem ve problem customer centric datum drive approach afrocenchix help formulate manufacture sell bottle safe effective product far award win product feature publication vogue indy good list average star review customer getting start,Beauty,0.454,Retail,0.306,E-commerce,0.304
5924,Agar-Scientific,agar lead manufacturer distributor scientific laboratory equipment focus electron microscopy consumable found alan agar company enjoy global recognition provider high quality component excellent customer service,Manufacturing,0.301,Robotics,0.23,Deep Tech,0.204
10408,Agilyx,believe time right expand advanced recycling give post use plastic new circular life convert valuable material original building block reuse enable plastic circularity global commercial scale aim play vital role accelerate shift low carbon economy co found cyclyx international waste plastic management company work directly industry participant engineer customize plastic recovery program supply advanced chemical recycling facility,Circular Economy,0.578,Climate Tech/CleanTech,0.497,GreenTech,0.434
6158,AGNITiO,agnitio worldwide market leader voice i d product agnitio voice i d government organization prevent crime identify criminal provide evidence court agnitio extensive customer base include lead police intelligence military government organization country agnitio voice i d product number lead customer partner contact center financial service telecommunication enterprise security sector,LegalTech,0.292,Communications,0.285,Professional Services,0.273
4453,AgPlus-diagnostics,agplus diagnostic develop diagnostic platform technology deliver demand market requirement true quantitative poc product use wide range clinical application,Life Sciences,0.338,MedTech,0.336,Healthcare,0.278
6875,Agriconomie,agriconomie agtech e commerce company provide farmer variety online tool include purchase support personalize advice information source share input supplier offer datum service advertising software supplier service division company found clment le fournis paolin pascot dinh nguyen,AgTech,0.432,Food & Beverage,0.366,AdTech,0.344
9245,AgriWebb,agriwebb software company focus livestock production industry product enable simplified farm data collection analysis improve management efficiency decision make benchmarke transparency integrate horizontal vertical supply chain agriwebbs founder come generation livestock production aim transform livestock industry datum drive decision make build intuitive farm datum recording,AgTech,0.517,Big Data,0.444,Analytics,0.441
1338,Agrosight,agrosight analytic company help agronomist farm unit integrate new stream unique valuable data decision make process agrosight detect plant disease early hyper spectral signal dramatically reduce cost food production,AgTech,0.375,Food & Beverage,0.31,Business Intelligence,0.309
4774,Aidence,aidence rally datum scientist software engineer medical regulatory business professional provide intelligent software lung cancer pathway clinical application veye lung nodule ai solution pulmonary nodule management ct veye run routine practice lung cancer screen programme europe,LegalTech,0.411,RegTech,0.397,Health Tech,0.387
3517,AI-Medical-Service,ai medical service start company develop artificial intelligence bring wisdom japanese endoscopic specialist contribute development endoscopic medical care worldwide,Health Tech,0.434,LegalTech,0.418,InsurTech,0.355
1368,AIMLedge,aimledge develop software platform automate development deployment customize deep learning software edge device brand computing ability specialize optimize solution low end commodity camera platform reduce development time solution enable plug play deployment vision democratize cut edge ai iot business industry size,Edge Computing,0.456,Automation,0.444,Robotics,0.386
3573,AInnovation,ainnovation own operate company offer product service base artificial intelligence different company platform use technology recognition vision computer learn machine process natural language offer advantage efficiency algorithm permit company improve productivity performance enable business enhance efficiency value achieve digital transformation,LegalTech,0.416,Future of Work,0.409,RegTech,0.369
1219,Ai-Palette,ai palette world artificial intelligence platform fmcg product innovation ai palette create win product concept line brand personality exist product portfolio garner insight million digital conversation couple company datum create product concept address unmet need consumer,Design,0.468,MarTech,0.408,RegTech,0.407
10231,Airex,airex smart ventilation control build intelligent air ventilation unit atmospheric sensor cloud algorithm company develop retrofit smart ventilation control system control airflow air brick owner benefit decrease energy bill warm home enhance thermal comfort healthy home minimal disturbance compromise air quality smart algorithm allow automatic air flow regulation take account local weather air quality datum airex found headquartered london,Industrial IoT,0.382,Energy Efficiency,0.367,PropTech,0.358
2082,AirPublic,airpublic provide world city citizen dynamic granular representative datum air pollution currently available develop expertise apply iot environmental sensing emerge smart city revolution,Infrastructure Tech,0.397,Carbon Capture,0.374,Connected Life,0.344
6136,AirSense-Wireless,airsense wireless european market leader wi fi cellular network interoperability work mobile network operator wi fi network enable seamless switch network demand wireless service increase need airsense wireless technology airsense wireless mission change mobile datum forever,Mobile,0.413,IoT,0.354,PropTech,0.346
6552,Airstrip-Technologies,airstrip technology platform securely deliver critical patient information include virtual real time waveform datum directly hospital monitoring system doctor nurse smart phone laptop desktop platform completely reusable scalable datum independent employ healthcare enterprise,Health Tech,0.459,MedTech,0.449,Healthcare,0.434
2641,Airsupply,airsupply demand teacher marketplace provide vet verify substitute supply teacher help school save money pay teacher,EdTech,0.358,Social Impact,0.319,Procurement,0.287
8828,Airvet,airvet telehealth platform design offer continuity care pet parent veterinarian aim support strengthen exist relationship veterinarian client veterinarian engage client pet parent video real time chat drive clinic revenue create continuity care achievable innovative veterinary community company found headquartered los angeles california,Healthcare,0.418,Health Tech,0.397,Beauty,0.324
5236,Aiven,aiven technology drive company enable business manage open source datum infrastructure cloud headquarter helsinki office berlin sydney toronto boston aiven provide manage open source data technology like postgresql kafka major cloud enable customer drive business result open source trigger true transformation far backyard,Data Management,0.539,Data Infrastructure,0.522,Data Centers,0.494
5934,Ajenta,globally focus business work closely client create simple cost effective communication tool change way people collaborate,Future of Work,0.421,Productivity,0.358,Social Networks,0.347
6049,Akeero,akeero assist devop product security team design deliver secure cloud infrastructure begin develop automate threat model platform assist product team produce buggy product customer use product build threat model gain visibility cyber asset achieve compliance,RegTech,0.39,Cybersecurity,0.384,LegalTech,0.374
5693,Akoni-Hub,akoni tech startup currently build business focus cash deposit marketplace sme future expansion sme product aim use technology machine learn improve financial outcome business,FinTech,0.413,Economic Empowerment,0.373,Mobile,0.358
4358,Akrivia-Health,akrivia health provide datum research clinical trial optimization molecular characterization mental health dementia provide assistance process early stage drug discovery market analysis clinical trial revenue management,Life Sciences,0.452,Psychedelics,0.422,BioTech,0.313
5338,Aktiia,found switzerland passion turn insight action fight hypertension aktiia groundbreaking medical technology provide people physician comprehensive insight blood pressure pattern inform diagnosis management hypertension available united kingdom aktiia receive ce mark class iia medical device signify device assess meet high safety health environmental protection requirement europe learn visit,Health Tech,0.313,Healthcare,0.266,MedTech,0.261
10708,Akura-Medical,akura medical develop generation thrombectomy device aim simplify thrombectomy easy use single pass procedure efficiently remove blood clot,Healthcare,0.266,MedTech,0.265,Business Intelligence,0.226
7016,Alaan,alaan multi currency spend management platform enable sme digitise business expense provide employee corporate card company purchase automate invoicing process,FinTech,0.473,Retail,0.415,Payments,0.409
83,Alan,alan stop health partner access healthy productive life empower body mind service include intuitive health insurance offer alan clinic navigate healthcare system alan mind mental offer thing alan people healthier happy productive new independent insurance license france french prudential supervisory authority acpr operate france belgium spain alan raise,Happiness & Wellbeing,0.419,SexTech,0.352,Sport & Wellness,0.324
5937,Alaric-Systems,alaric system limit provide soa orient payment software product bank retailer issuer acquirer service provider globally company strategic alliance hewlett packard ibm mastercard international oracle stratus technologies visa international sun microsystem alaric system limit incorporate headquartered london united kingdom international office united states malaysia australia,FinTech,0.357,Payments,0.346,Retail,0.329
6769,Alasco,alasco support project controller developer automate workflow availability financial datum place central information source increase productivity participant method decrease probability error assure comprehensive transparency fast decision make,Productivity,0.55,Future of Work,0.484,Human Resources,0.353
8866,albo,albo lead mexican challenger bank help manage money adapt lifestyle bring honest service care albo offer mobile banking app banking account mastercard card allow easily spend save invest money open account second phone having disposal personalized financing tool help assist make well financial decision able free money transfer whichever bank albo include innovate function one mention,FinTech,0.555,Payments,0.406,Professional Services,0.366
