,id,name,cb_description,industry
31,3255,ABK-Biomedical,abk biomedical combine clinical market biomaterial specialize improve treatment option patient hypervascular tumor company dedicated transform interventional radiology procedure call embolization,industrial iot
32,5750,Ablynx,ablynx biopharmaceutical company engage discovery development nanobodie novel class therapeutic protein base single domain antibody fragment range human disease include inflammation haematology oncology pulmonary disease today company approximately project pipeline nanobodie clinical development,industrial iot
33,3527,Abogen-Biosciences,abogen bioscience discovery stage biotechnology company focus develop nucleic acid base rna dna therapeutic treatment cancer infectious disease,genomics
34,7990,Abokado,abokado own operate chain food bar restaurant united kingdom offer sushi wraps breakfast juice smoothie drink cake fruit salad soup stir fry asian food abokado supply lunch company mark lilley wife lindsey found headquarters london united kingdom,data centers
35,3174,AbsolutData,absolutdata consulting orient analytic research firm number fortune client wide variety industry country navik ai platform enterprise blend ai technology datum analytic serve intelligence layer forward think company,cloud infrastructure
36,3436,Acacia-Pharma,acacia pharma pharmaceutical company discover develop supportive care drug company focus cancer supportive care product include injectable formulation oral drug use nausea vomiting use cancer cachexia intravenous formulation use prevention treatment nausea vomiting company concentrate discovery effort cancer relate fatigue cancer cachexia xerostomia acacia pharma incorporate base cambridge united kingdom,industrial iot
37,4672,ACAL-Energy,acal energy developer fuel cell system module consumable chemical range use include stationary residential automotive application require large kw power innovative design deliver substantial cost saving fuel cell system performance improvement pem proton exchange membrane accelerate adoption pem fuel cell technology key market,industrial iot
38,739,Accelerated-Payments,accelerated payment enable sme expand grow allow advance cash specific individual invoice accelerate payment create entrepreneur year experience financial service start run business,cloud infrastructure
39,4924,AccelerComm,accelercomm exciting semiconductor ip core company provide solution accelerate generation wireless communication rel rel technology solve bottleneck limit speed generation wireless communication error correction decode required overcome effect noise interference poor signal strength,industrial iot
40,6388,Access-Bank,access bank provide banking product service individual business customer ghana offer standard saving current access advantage solo premier account company provide online banking service include atm online access point sale terminal service bill payment western union money transfer service,cloud infrastructure
41,6483,AccessFintech,accessfintech offer risk management service bank buyside firm track trade lifecycle help firm track trade lifecycle true sense prioritize risk increase number system access fintech bring fintech providers house technology orchestrate interaction distribute provider create single visual display risk financial transaction global sharable view,cloud infrastructure
42,10138,Access-Intelligence,access intelligence b b medium information company headquarter rockville serve energy defense healthcare management chemical satellite aviation cable medium public relation market,data infrastructure
43,3427,Accuri-Cytometers,accuri cytometer found address compelling need life scientist love rapid cell cell analysis capability flow cytometer flow cytometer lab barrier researcher include cost instrument complexity software effort require maintenance large bench space require instrument result company look develop affordable robust cytometer,industrial iot
44,10601,Accutrainee,accutrainee found run solicitor understand legal industry challenge deliver legal service client critical need commercial approach whilst stay sensitive partnership ethos profession understand trainee process having experience hand,social impact
45,8817,AccuVein,accuvein specialize vein visualization technology flagship product hand hold non contact vein illumination solution allow healthcare professional map peripheral vein skin surface goal access avoid vein build proprietary technology embody grow patent portfolio cover broad range image medical diagnostic technology company found headquartered medford new york,developer tools
46,7247,Acea-Health,acea health digital healthcare company develop application call flynote new digital consent platform flynote analyse number factor include patient background deliver personalise risk benefit flynote aim solution consent healthcare,cloud infrastructure
47,6553,Acesion-Pharma,acesion pharma developer medical drug design treatment atrial fibrillation company medical drug develop treatment atrial fibrillation common type cardiac arrhythmia follow concept inhibit type ion channel heart cell involve generate electrical signal regulate heart rhythm provide consumer chronic treatment prevent recurrence af maintain normal heart rhythm,industrial iot
48,6532,Achilles-Therapeutics,achille therapeutic developer immunotherapy intend offer generation patient specific therapy treat cancer company immunotherapie harness immune system destroy cancer cell target truncal tumor neo antigen flag immune system present surface cancer cell enable scientist target destroy tumor harm healthy tissue,industrial iot
49,7485,Achillion-Pharmaceuticals,achillion drive transform live patient family affect disease complement system integral innate immune system scientific clinical evidence implicate complement system specifically complement alternative pathway ap numerous devastating disease condition principal focus achillion advance clinical stage portfolio orally administer factor d inhibitor late stage development potential commercialization patient devastating disorder complement system,industrial iot
50,10086,Acousticeye,acousticeye establish tal pechter noam amir bring acoustic technology ndt non destructive testing industry company develop manufacturer market mobile embed tube inspection device acousticeye patent pende technology offer accurate rapid single point inspection inaccessible tube company dolphin system unique ability quickly find accurately locate defect complex tube system regardless material need physically traverse probe tube,industrial iot
51,10194,Acre,acre rebuild uks mortgage market ground vertically integrate mortgage stack new end end platform broker lender,sales & crm
52,4981,AcreTrader,acretrader agricultural real estate invest platform help buyer buy share farmland online platform acretrader provide transparency flexibility ease use people want invest farmland handling aspect administration property management insurance account work local farmer improve soil sustainability company found headquartered fayetteville arkansas,cloud infrastructure
53,3893,ACS-Clothing,acs provider men hirewear lead retailer uk ireland wtih extensive range formalwear highlandwear provide outfits wearer year range garment available hire found company grow year proud supply large menswear retailer uk,industrial iot
54,7159,Actionality,actionality offer mobile marketing technology solution company adflextm platform enable user develop mobile commercial standardized format campaign logic support update rotation modification interaction reporting serve advertiser mobile operator content providers asia europe company found base munich germany sale office berlin germany hong kong hong kong july actionality subsidiary yahoo,developer tools
55,3073,Actronika,actronika build haptic platform enable seamless system integration actronika leader haptics technology provide cut edge vibrotactile module integrate client system actronika develop human machine interface solution patent haptic technology human bear touch order form relationship learn engaged environment face digitize world mission engage people tangible material experience hardware software possible,cloud infrastructure
56,20,Acutus-Medical,acutus medical develop medical technology treat complex cardiac arrhythmia company platform display heart true activation pattern turn chaos complex arrhythmia clear vision electrophysiologists acutus medical privately fund company found base carlsbad california products co develop europe exceptional team medical scientist biomedical engineer professional found headquartered carlsbad california,developer tools
57,1262,Adaface,adaface build conversational ai ada round tech interview candidate love interview turn ada analyse candidates think process timely hint ask follow question accurately gauge skill ada shortlist qualified candidate role company invest time engage candidate,developer tools
58,3279,Adagene,adagene clinical stage biotech company specialize develop immuno oncology antibodie novel epitope proprietary smart antibody technology increase success rate substantially accelerate time market reduce cost associate develop therapeutic antibody,industrial iot
59,321,Adallom,found cyber defense veteran adallom gartner cool vendor cloud access security broker deliver visibility governance protection cloud application innovative platform simple deploy seamless user available saas base prem solution power smartengine advanced heuristic back elite cybersecurity research team adallom make easy protect data cloud adallom abbreviation hebrew say ad halom literally mean line defense information visit follow,developer tools
60,5787,Adaptate-Biotherapeutics,adaptate biotherapeutic company develop antibody modulate gamma delta t cells situ company found adrian hayday headquartered london,genomics
61,9851,ADC-Biotechnology,adc bio develop new process technology help drug developer meet conjugation process challenge test production new antibody drug conjugate anti cancer drug technology signal fast simple costly development exciting new family drug,industrial iot
62,10620,ADC-Therapeutics,adc therapeutic clinical stage oncology drug discovery development company focus advance highly potent target antibody drug conjugate adcs treatment hematological cancer solid tumor adcs develop late generation pyrrolobenzodiazepine pbd dimer technology provide superior therapeutic index compare generation pbd adcs preclinical study pbd dimer potent toxin actively kill cancer cell differentiate mechanism action warhead commonly adcs,industrial iot
63,5062,Addition-Wealth,addition wealth holistic financial wellness platform empower employee smart informed financial decision take tech forward approach combine digital tool online event expert content access financial professional addition make personalized financial expertise inclusive accessible employee addition partner forward think employer help employee money,cloud infrastructure
64,3020,Adepto,adepto pioneering way company view manage entire workforce ve create total talent ecosystem bring internal external worker place point solution complete solution start brisbane australia global operation tribe hard work dedicated diverse mind passionate create solution organisation people centre,cloud infrastructure
65,3863,Adept-Technology-Group,adept technology group plc provider communication solution adept unite communication innovation use technology bring idea solution business help succeed simply deliver product service help business grow competitive increase profitability improve way communicate customer employee,cloud infrastructure
66,3957,Adestra,adestra empower client maximize marketing roi email drive technology year flexible account structure obsession customer success award win service gain trust global enterprise grow brand alike found principle marketing success take technology s customer service heart business software service software service adestra office dallas oxford london sydney boston,sport & wellness
67,5565,Adfenix,adfenix collect sense world real estate datum adfenix platform estate agent empower help consumer journey buy new home offer quality advertising product relate service click button,developer tools
68,5791,Adiana,adiana engage development testing transcervical sterilization system permanent birth control develop complete tcs consist radiofrequency generator delivery catheter implantable matrix company found base redwood city california march adiana subsidiary cytyc,industrial iot
69,6702,Adikteev,adikteev lead app engagement platform performance drive marketer consistently rank appsflyer performance index adikteev help world spend game app publisher increase retention reacquire churn user drive incremental revenue thank measure engagement strategy creative algorithm adikteev serve customer world office emea,cloud infrastructure
70,4175,Adjug,adjug online advertising marketplace connect buyer seller online advertising provide transparency control choice publisher control online inventory increase earning advertiser run well campaign know conversion traffic come adjug found satish jayakumar michael stephanblome idea improve way advertising gets buy sell ad network connect advertiser publisher directly adjug seek europe lead online advertising marketplace,developer tools
71,9546,ADMA-Biologics,adma specialty immune globulin company develop manufacture intend market plasma base biologic target niche patient population treatment prevention certain infectious disease companys target patient population include immune compromise individual suffer underlie immune deficiency disease immune suppress medical reason adma operate adma biocenter fda license source plasma collection facility provide portion blood plasma manufacturing company lead product candidate,industrial iot
72,10703,Adona-Medical,adona medical privately hold portfolio company shifame innovate interventional approach heart failure complex progressive condition impact approximately patient patient globally adona platform overcome shortcoming exist treatment option enable provider improve care heart failure patient,cloud infrastructure
73,6666,Adsum,adsum fintech company proprietary tech identify client tax credit maximize deliver client account hour handle entire reclaim process client focus investment growth adsum headquarter london england found,sales & crm
74,3470,Advance-Intelligence-Group,advance intelligence group ai drive technology company asia pacific found leverage innovative technology partnership build ecosystem product service serve consumer enterprise merchant,cloud infrastructure
75,10212,Advantage-Club,advantage club provide ai drive platform intend drive employee engagement deliver program connect benefit brand organization client employee company intend provide end end solution facilitate meaningful client employee engagement exclusive privilege reward provide brand partner,cloud infrastructure
76,6721,Adviva,adviva operate european online advertising network target brand advertiser behavioural contextual target technology adviva connect advertiser european consumer want reach,sales & crm
77,2430,Advizzo,want use behavioural science enrich people live insight household datum change way people think water gas electricity world preserve natural resource,social impact
78,29,Adyen,adyen operate technology company netherlands brazil singapore united kingdom canada australia south korea hong kong mexico china new zealand malaysia india japan united states offer adyen platform integrate gateway risk management processing acquire settlement payment directly connect merchant visa mastercard payment method sale channel include merchant online mobile point sale channel pieter van der found adyen headquarters amsterdam netherlands,cloud infrastructure
79,7489,AEA-Technology,aea lead energy climate change consultancy deliver visionary integrate environmental solution worldwide assist government evidence base policy development solve environmental challenge improve organisational performance,industrial iot
80,10,Aegerion-Pharmaceuticals,aegerion pharmaceutical biopharmaceutical company engage development commercialization therapeutic pharmaceutical treat cardiovascular metabolic disease develop lomitapide microsomal triglyceride transfer protein inhibitor small molecule drug decrease serum lipid include cholesterol triglyceride treat atherosclerosis dyslipidemia obesity pancreatitis company focus product evaluation treatment hyperlipidemia aegerion pharmaceutical incorporate headquartered bridgewater new jersey,industrial iot
81,6768,Aerones,aerone innovative company develop robotic technology wind turbine blade maintenance service company found headquartered san jose california united states,industrial iot
82,9044,Aether-Bio,aether bio developer machine learn technology purpose enzyme order create new compound technology utilize machine learn combine high throughput robotic laboratory create entirely new compound reinvent production previously discover compound enable healthcare institutes chemical material need cheap sustainable company proprietary hardware allow massively parallelize experimentation generating dataset order magnitude large competition,developer tools
83,2215,AFC-Wimbledon,afc wimbledon continuation wimbledon football club long exist franchising league place milton keynes team win fa cup notably rise dead look come home plough lane,data centers
84,754,Africa-Logistic-Properties,africa logistics property alp integrated property investment development property company dedicate modern grade logistic industrial sector africa base nairobi management team include senior property professional year industrial investment experience emerge market alp back global institutional investor,sales & crm
85,780,Afrocenchix,afro haircare market grow fast big player not understand customer problem ve problem customer centric datum drive approach afrocenchix help formulate manufacture sell bottle safe effective product far award win product feature publication vogue indy good list average star review customer getting start,sport & wellness
86,5924,Agar-Scientific,agar lead manufacturer distributor scientific laboratory equipment focus electron microscopy consumable found alan agar company enjoy global recognition provider high quality component excellent customer service,data centers
87,10408,Agilyx,believe time right expand advanced recycling give post use plastic new circular life convert valuable material original building block reuse enable plastic circularity global commercial scale aim play vital role accelerate shift low carbon economy co found cyclyx international waste plastic management company work directly industry participant engineer customize plastic recovery program supply advanced chemical recycling facility,climate tech/cleantech
88,6158,AGNITiO,agnitio worldwide market leader voice i d product agnitio voice i d government organization prevent crime identify criminal provide evidence court agnitio extensive customer base include lead police intelligence military government organization country agnitio voice i d product number lead customer partner contact center financial service telecommunication enterprise security sector,cloud infrastructure
89,4453,AgPlus-diagnostics,agplus diagnostic develop diagnostic platform technology deliver demand market requirement true quantitative poc product use wide range clinical application,cloud infrastructure
90,6875,Agriconomie,agriconomie agtech e commerce company provide farmer variety online tool include purchase support personalize advice information source share input supplier offer datum service advertising software supplier service division company found clment le fournis paolin pascot dinh nguyen,sales & crm
91,9245,AgriWebb,agriwebb software company focus livestock production industry product enable simplified farm data collection analysis improve management efficiency decision make benchmarke transparency integrate horizontal vertical supply chain agriwebbs founder come generation livestock production aim transform livestock industry datum drive decision make build intuitive farm datum recording,developer tools
92,1338,Agrosight,agrosight analytic company help agronomist farm unit integrate new stream unique valuable data decision make process agrosight detect plant disease early hyper spectral signal dramatically reduce cost food production,industrial iot
93,4774,Aidence,aidence rally datum scientist software engineer medical regulatory business professional provide intelligent software lung cancer pathway clinical application veye lung nodule ai solution pulmonary nodule management ct veye run routine practice lung cancer screen programme europe,cloud infrastructure
94,3517,AI-Medical-Service,ai medical service start company develop artificial intelligence bring wisdom japanese endoscopic specialist contribute development endoscopic medical care worldwide,cloud infrastructure
95,1368,AIMLedge,aimledge develop software platform automate development deployment customize deep learning software edge device brand computing ability specialize optimize solution low end commodity camera platform reduce development time solution enable plug play deployment vision democratize cut edge ai iot business industry size,cloud infrastructure
96,3573,AInnovation,ainnovation own operate company offer product service base artificial intelligence different company platform use technology recognition vision computer learn machine process natural language offer advantage efficiency algorithm permit company improve productivity performance enable business enhance efficiency value achieve digital transformation,cloud infrastructure
97,1219,Ai-Palette,ai palette world artificial intelligence platform fmcg product innovation ai palette create win product concept line brand personality exist product portfolio garner insight million digital conversation couple company datum create product concept address unmet need consumer,cloud infrastructure
98,10231,Airex,airex smart ventilation control build intelligent air ventilation unit atmospheric sensor cloud algorithm company develop retrofit smart ventilation control system control airflow air brick owner benefit decrease energy bill warm home enhance thermal comfort healthy home minimal disturbance compromise air quality smart algorithm allow automatic air flow regulation take account local weather air quality datum airex found headquartered london,cloud infrastructure
99,2082,AirPublic,airpublic provide world city citizen dynamic granular representative datum air pollution currently available develop expertise apply iot environmental sensing emerge smart city revolution,climate tech/cleantech
