,id,name,cb_description,industry1,score1,industry2,score2,industry3,score3
56,20,Acutus-Medical,acutus medical develop medical technology treat complex cardiac arrhythmia company platform display heart true activation pattern turn chaos complex arrhythmia clear vision electrophysiologists acutus medical privately fund company found base carlsbad california products co develop europe exceptional team medical scientist biomedical engineer professional found headquartered carlsbad california,Health Tech,0.76,Psychedelics,0.739,Genomics,0.738
57,1262,Adaface,adaface build conversational ai ada round tech interview candidate love interview turn ada analyse candidates think process timely hint ask follow question accurately gauge skill ada shortlist qualified candidate role company invest time engage candidate,Analytics,0.808,InsurTech,0.807,Future of Work,0.807
58,3279,Adagene,adagene clinical stage biotech company specialize develop immuno oncology antibodie novel epitope proprietary smart antibody technology increase success rate substantially accelerate time market reduce cost associate develop therapeutic antibody,BioTech,0.819,Longevity,0.802,Life Sciences,0.8
59,321,Adallom,found cyber defense veteran adallom gartner cool vendor cloud access security broker deliver visibility governance protection cloud application innovative platform simple deploy seamless user available saas base prem solution power smartengine advanced heuristic back elite cybersecurity research team adallom make easy protect data cloud adallom abbreviation hebrew say ad halom literally mean line defense information visit follow,Data Storage,0.835,Cloud Infrastructure,0.828,Cloud Computing,0.827
60,5787,Adaptate-Biotherapeutics,adaptate biotherapeutic company develop antibody modulate gamma delta t cells situ company found adrian hayday headquartered london,Longevity,0.809,BioTech,0.791,Life Sciences,0.789
61,9851,ADC-Biotechnology,adc bio develop new process technology help drug developer meet conjugation process challenge test production new antibody drug conjugate anti cancer drug technology signal fast simple costly development exciting new family drug,BioTech,0.814,Longevity,0.798,Life Sciences,0.793
62,10620,ADC-Therapeutics,adc therapeutic clinical stage oncology drug discovery development company focus advance highly potent target antibody drug conjugate adcs treatment hematological cancer solid tumor adcs develop late generation pyrrolobenzodiazepine pbd dimer technology provide superior therapeutic index compare generation pbd adcs preclinical study pbd dimer potent toxin actively kill cancer cell differentiate mechanism action warhead commonly adcs,Psychedelics,0.796,Genomics,0.751,BioTech,0.748
63,5062,Addition-Wealth,addition wealth holistic financial wellness platform empower employee smart informed financial decision take tech forward approach combine digital tool online event expert content access financial professional addition make personalized financial expertise inclusive accessible employee addition partner forward think employer help employee money,InsurTech,0.816,Future of Work,0.816,Sharing Economy,0.809
64,3020,Adepto,adepto pioneering way company view manage entire workforce ve create total talent ecosystem bring internal external worker place point solution complete solution start brisbane australia global operation tribe hard work dedicated diverse mind passionate create solution organisation people centre,Future of Work,0.821,Sharing Economy,0.797,Creator Economy,0.793
65,3863,Adept-Technology-Group,adept technology group plc provider communication solution adept unite communication innovation use technology bring idea solution business help succeed simply deliver product service help business grow competitive increase profitability improve way communicate customer employee,MarTech,0.822,Social Networks,0.813,Future of Work,0.812
66,3957,Adestra,adestra empower client maximize marketing roi email drive technology year flexible account structure obsession customer success award win service gain trust global enterprise grow brand alike found principle marketing success take technology s customer service heart business software service software service adestra office dallas oxford london sydney boston,MarTech,0.813,AdTech,0.812,Sales & CRM,0.808
67,5565,Adfenix,adfenix collect sense world real estate datum adfenix platform estate agent empower help consumer journey buy new home offer quality advertising product relate service click button,Creator Economy,0.851,AdTech,0.838,Social Networks,0.834
68,5791,Adiana,adiana engage development testing transcervical sterilization system permanent birth control develop complete tcs consist radiofrequency generator delivery catheter implantable matrix company found base redwood city california march adiana subsidiary cytyc,Health Tech,0.807,Longevity,0.801,MedTech,0.799
69,6702,Adikteev,adikteev lead app engagement platform performance drive marketer consistently rank appsflyer performance index adikteev help world spend game app publisher increase retention reacquire churn user drive incremental revenue thank measure engagement strategy creative algorithm adikteev serve customer world office emea,Analytics,0.735,Creator Economy,0.735,Business Intelligence,0.726
70,4175,Adjug,adjug online advertising marketplace connect buyer seller online advertising provide transparency control choice publisher control online inventory increase earning advertiser run well campaign know conversion traffic come adjug found satish jayakumar michael stephanblome idea improve way advertising gets buy sell ad network connect advertiser publisher directly adjug seek europe lead online advertising marketplace,AdTech,0.803,Creator Economy,0.786,MarTech,0.773
71,9546,ADMA-Biologics,adma specialty immune globulin company develop manufacture intend market plasma base biologic target niche patient population treatment prevention certain infectious disease companys target patient population include immune compromise individual suffer underlie immune deficiency disease immune suppress medical reason adma operate adma biocenter fda license source plasma collection facility provide portion blood plasma manufacturing company lead product candidate,Gut Microbiome,0.759,Healthcare,0.757,Psychedelics,0.754
72,10703,Adona-Medical,adona medical privately hold portfolio company shifame innovate interventional approach heart failure complex progressive condition impact approximately patient patient globally adona platform overcome shortcoming exist treatment option enable provider improve care heart failure patient,Health Tech,0.828,MedTech,0.815,Healthcare,0.791
73,6666,Adsum,adsum fintech company proprietary tech identify client tax credit maximize deliver client account hour handle entire reclaim process client focus investment growth adsum headquarter london england found,Sales & CRM,0.866,InsurTech,0.856,DeFi,0.844
74,3470,Advance-Intelligence-Group,advance intelligence group ai drive technology company asia pacific found leverage innovative technology partnership build ecosystem product service serve consumer enterprise merchant,Platforms,0.86,Cloud Infrastructure,0.852,Industrial IoT,0.832
75,10212,Advantage-Club,advantage club provide ai drive platform intend drive employee engagement deliver program connect benefit brand organization client employee company intend provide end end solution facilitate meaningful client employee engagement exclusive privilege reward provide brand partner,Social Networks,0.84,Sharing Economy,0.827,Creator Economy,0.823
76,6721,Adviva,adviva operate european online advertising network target brand advertiser behavioural contextual target technology adviva connect advertiser european consumer want reach,AdTech,0.863,InsurTech,0.826,MarTech,0.825
77,2430,Advizzo,want use behavioural science enrich people live insight household datum change way people think water gas electricity world preserve natural resource,Climate Tech/CleanTech,0.828,Biodiversity,0.814,Circular Economy,0.807
78,29,Adyen,adyen operate technology company netherlands brazil singapore united kingdom canada australia south korea hong kong mexico china new zealand malaysia india japan united states offer adyen platform integrate gateway risk management processing acquire settlement payment directly connect merchant visa mastercard payment method sale channel include merchant online mobile point sale channel pieter van der found adyen headquarters amsterdam netherlands,Payments,0.757,Crypto,0.733,DeFi,0.73
79,7489,AEA-Technology,aea lead energy climate change consultancy deliver visionary integrate environmental solution worldwide assist government evidence base policy development solve environmental challenge improve organisational performance,Circular Economy,0.82,Sales & CRM,0.813,InsurTech,0.806
80,10,Aegerion-Pharmaceuticals,aegerion pharmaceutical biopharmaceutical company engage development commercialization therapeutic pharmaceutical treat cardiovascular metabolic disease develop lomitapide microsomal triglyceride transfer protein inhibitor small molecule drug decrease serum lipid include cholesterol triglyceride treat atherosclerosis dyslipidemia obesity pancreatitis company focus product evaluation treatment hyperlipidemia aegerion pharmaceutical incorporate headquartered bridgewater new jersey,Psychedelics,0.767,Genomics,0.759,BioTech,0.718
81,6768,Aerones,aerone innovative company develop robotic technology wind turbine blade maintenance service company found headquartered san jose california united states,Industrial IoT,0.823,Automotive,0.804,IoT,0.785
82,9044,Aether-Bio,aether bio developer machine learn technology purpose enzyme order create new compound technology utilize machine learn combine high throughput robotic laboratory create entirely new compound reinvent production previously discover compound enable healthcare institutes chemical material need cheap sustainable company proprietary hardware allow massively parallelize experimentation generating dataset order magnitude large competition,Analytics,0.78,Generative AI,0.754,BioTech,0.751
83,2215,AFC-Wimbledon,afc wimbledon continuation wimbledon football club long exist franchising league place milton keynes team win fa cup notably rise dead look come home plough lane,Death Tech,0.687,Disinformation,0.66,Longevity,0.658
84,754,Africa-Logistic-Properties,africa logistics property alp integrated property investment development property company dedicate modern grade logistic industrial sector africa base nairobi management team include senior property professional year industrial investment experience emerge market alp back global institutional investor,PropTech,0.825,InsurTech,0.803,DeFi,0.797
85,780,Afrocenchix,afro haircare market grow fast big player not understand customer problem ve problem customer centric datum drive approach afrocenchix help formulate manufacture sell bottle safe effective product far award win product feature publication vogue indy good list average star review customer getting start,Analytics,0.789,Retail,0.783,EdTech,0.776
86,5924,Agar-Scientific,agar lead manufacturer distributor scientific laboratory equipment focus electron microscopy consumable found alan agar company enjoy global recognition provider high quality component excellent customer service,Industrial IoT,0.817,Retail,0.812,InsurTech,0.794
87,10408,Agilyx,believe time right expand advanced recycling give post use plastic new circular life convert valuable material original building block reuse enable plastic circularity global commercial scale aim play vital role accelerate shift low carbon economy co found cyclyx international waste plastic management company work directly industry participant engineer customize plastic recovery program supply advanced chemical recycling facility,Circular Economy,0.796,Industrial IoT,0.764,Longevity,0.756
88,6158,AGNITiO,agnitio worldwide market leader voice i d product agnitio voice i d government organization prevent crime identify criminal provide evidence court agnitio extensive customer base include lead police intelligence military government organization country agnitio voice i d product number lead customer partner contact center financial service telecommunication enterprise security sector,Retail,0.726,Data Management,0.725,Analytics,0.724
89,4453,AgPlus-diagnostics,agplus diagnostic develop diagnostic platform technology deliver demand market requirement true quantitative poc product use wide range clinical application,Platforms,0.844,Analytics,0.836,Business Intelligence,0.835
90,6875,Agriconomie,agriconomie agtech e commerce company provide farmer variety online tool include purchase support personalize advice information source share input supplier offer datum service advertising software supplier service division company found clment le fournis paolin pascot dinh nguyen,Retail,0.829,InsurTech,0.807,Creator Economy,0.807
91,9245,AgriWebb,agriwebb software company focus livestock production industry product enable simplified farm data collection analysis improve management efficiency decision make benchmarke transparency integrate horizontal vertical supply chain agriwebbs founder come generation livestock production aim transform livestock industry datum drive decision make build intuitive farm datum recording,Analytics,0.824,Business Intelligence,0.808,Data Management,0.804
92,1338,Agrosight,agrosight analytic company help agronomist farm unit integrate new stream unique valuable data decision make process agrosight detect plant disease early hyper spectral signal dramatically reduce cost food production,Analytics,0.838,Industrial IoT,0.822,AgTech,0.82
93,4774,Aidence,aidence rally datum scientist software engineer medical regulatory business professional provide intelligent software lung cancer pathway clinical application veye lung nodule ai solution pulmonary nodule management ct veye run routine practice lung cancer screen programme europe,Health Tech,0.851,MedTech,0.836,Longevity,0.833
94,3517,AI-Medical-Service,ai medical service start company develop artificial intelligence bring wisdom japanese endoscopic specialist contribute development endoscopic medical care worldwide,Health Tech,0.831,MedTech,0.822,Healthcare,0.82
95,1368,AIMLedge,aimledge develop software platform automate development deployment customize deep learning software edge device brand computing ability specialize optimize solution low end commodity camera platform reduce development time solution enable plug play deployment vision democratize cut edge ai iot business industry size,Platforms,0.84,Data Infrastructure,0.824,Data Storage,0.821
96,3573,AInnovation,ainnovation own operate company offer product service base artificial intelligence different company platform use technology recognition vision computer learn machine process natural language offer advantage efficiency algorithm permit company improve productivity performance enable business enhance efficiency value achieve digital transformation,Analytics,0.806,Future of Work,0.801,EdTech,0.787
97,1219,Ai-Palette,ai palette world artificial intelligence platform fmcg product innovation ai palette create win product concept line brand personality exist product portfolio garner insight million digital conversation couple company datum create product concept address unmet need consumer,Creator Economy,0.805,Analytics,0.803,Metaverse,0.79
98,10231,Airex,airex smart ventilation control build intelligent air ventilation unit atmospheric sensor cloud algorithm company develop retrofit smart ventilation control system control airflow air brick owner benefit decrease energy bill warm home enhance thermal comfort healthy home minimal disturbance compromise air quality smart algorithm allow automatic air flow regulation take account local weather air quality datum airex found headquartered london,Energy Efficiency,0.775,Connected Home,0.757,Connected Life,0.744
99,2082,AirPublic,airpublic provide world city citizen dynamic granular representative datum air pollution currently available develop expertise apply iot environmental sensing emerge smart city revolution,Circular Economy,0.85,Industrial IoT,0.85,Business Intelligence,0.843
100,6136,AirSense-Wireless,airsense wireless european market leader wi fi cellular network interoperability work mobile network operator wi fi network enable seamless switch network demand wireless service increase need airsense wireless technology airsense wireless mission change mobile datum forever,IoT,0.832,Network Infrastructure,0.827,5G Networks,0.822
101,6552,Airstrip-Technologies,airstrip technology platform securely deliver critical patient information include virtual real time waveform datum directly hospital monitoring system doctor nurse smart phone laptop desktop platform completely reusable scalable datum independent employ healthcare enterprise,Connected Life,0.854,Health Tech,0.847,IoT,0.845
102,2641,Airsupply,airsupply demand teacher marketplace provide vet verify substitute supply teacher help school save money pay teacher,EdTech,0.813,Sharing Economy,0.801,Human Resources,0.792
103,8828,Airvet,airvet telehealth platform design offer continuity care pet parent veterinarian aim support strengthen exist relationship veterinarian client veterinarian engage client pet parent video real time chat drive clinic revenue create continuity care achievable innovative veterinary community company found headquartered los angeles california,Health Tech,0.795,InsurTech,0.77,Retail,0.764
104,5236,Aiven,aiven technology drive company enable business manage open source datum infrastructure cloud headquarter helsinki office berlin sydney toronto boston aiven provide manage open source data technology like postgresql kafka major cloud enable customer drive business result open source trigger true transformation far backyard,Data Infrastructure,0.783,Cloud Infrastructure,0.782,Data Management,0.781
105,5934,Ajenta,globally focus business work closely client create simple cost effective communication tool change way people collaborate,Social Networks,0.849,Future of Work,0.847,Productivity,0.835
106,6049,Akeero,akeero assist devop product security team design deliver secure cloud infrastructure begin develop automate threat model platform assist product team produce buggy product customer use product build threat model gain visibility cyber asset achieve compliance,Platforms,0.849,Cloud Computing,0.843,Data Storage,0.839
107,5693,Akoni-Hub,akoni tech startup currently build business focus cash deposit marketplace sme future expansion sme product aim use technology machine learn improve financial outcome business,Future of Work,0.849,Creator Economy,0.84,EdTech,0.832
108,4358,Akrivia-Health,akrivia health provide datum research clinical trial optimization molecular characterization mental health dementia provide assistance process early stage drug discovery market analysis clinical trial revenue management,Sales & CRM,0.878,InsurTech,0.857,AdTech,0.849
109,5338,Aktiia,found switzerland passion turn insight action fight hypertension aktiia groundbreaking medical technology provide people physician comprehensive insight blood pressure pattern inform diagnosis management hypertension available united kingdom aktiia receive ce mark class iia medical device signify device assess meet high safety health environmental protection requirement europe learn visit,Health Tech,0.821,MedTech,0.8,EdTech,0.783
110,10708,Akura-Medical,akura medical develop generation thrombectomy device aim simplify thrombectomy easy use single pass procedure efficiently remove blood clot,MedTech,0.81,Healthcare,0.802,Health Tech,0.794
111,7016,Alaan,alaan multi currency spend management platform enable sme digitise business expense provide employee corporate card company purchase automate invoicing process,Payments,0.854,InsurTech,0.846,DeFi,0.846
112,83,Alan,alan stop health partner access healthy productive life empower body mind service include intuitive health insurance offer alan clinic navigate healthcare system alan mind mental offer thing alan people healthier happy productive new independent insurance license france french prudential supervisory authority acpr operate france belgium spain alan raise,Health Tech,0.78,InsurTech,0.761,EdTech,0.758
113,5937,Alaric-Systems,alaric system limit provide soa orient payment software product bank retailer issuer acquirer service provider globally company strategic alliance hewlett packard ibm mastercard international oracle stratus technologies visa international sun microsystem alaric system limit incorporate headquartered london united kingdom international office united states malaysia australia,Payments,0.746,DeFi,0.743,Crypto,0.74
