id,name,cb_description
24463,Agrieye,advice quality quantity fertilizer nutrition plant protection chemical crop subscription base farmer growth cycle soil subscriber drone camera amass datum air hardware opensource datum processing software web family farm tool land efficiency risk prediction
21673,Agrikaab,mission agrifood tech startup investment agriculture mission generation farmer food security region job agriculture industry technology agriculture country economy investment improvement sector impact people economy
22490,Agro-Intelligence,company founder ceo goal company knowledge product technology platform field company focus solution sensor automation agri plant industry company advantage potential area precision farming automation solution agriculture standard trend industry machine machine market automation solution distributor machinery producer technologie market
13201,Talea,goal quality life care people care relative carer worry stress guilt interaction coordination addition communication payer physician pharmacy
211,HouseTrip,holiday rental website property destination guest homeowner book list holiday rental property husband wife team office fund investor
23729,Ahandyhand,peer service provider platform user provider time skill task user client community network website meeting point people job person skill time job idea meeting point task solution home market peer peer network platform delivery help assistance task client provider search engine qualification provider client code category search result description provider provider
415,Big-Health,therapeutic company offer therapeutic program health issue medicine care sleep improvement program consultation professional individual sleep disorder manner
226,BioXell,spinout disease autoimmunity idea founder director career path research unit project
109,Hutch,action racing game head office team play game service idea stock group game community experience time game feedback player player datum creativity improve theirselve meet value team way game share team team problem time flow execution team ie nature thing thing fun place
1256,Predina-Tech,risk vehicle accident location time insurance safety purpose crash factor street intersection weather condition time
12,BitPay,enterprise grade payment solution business organization paymet gateway payment protocol support payment request payment communication support solution wallet solution hardware security integration user hardware level protection generation transaction sign key processing relationship headquarter
23074,Ahum,leg psychologist art director engineer psychology reception psychology year psychologist people psychologist feel therapist market client therapy form therapist person support situation times energy knowledge sector remit care healthcare sector people health chair
24314,AIA-Science,data analytic intelligence solution cities carbon footprint value asset
1826,BlockFrauds,blockfraud data management software simplify workflow business resilience platform machine learn workflow automation touchpoint datum ecosystem datum collection datum insight company
290,BIT-ODD,game toy company game wonder weirdness inquiry telephone email
22401,AiBA,moderator tool identify detect time detection profile toxicity amount content conversation moderator
25040,Aibel,engineering procurement construction service oil gas energy industry service concept study feed fabrication installation system completion maintenance support decommission
1693,Blokur,company platform management monetization right mission internet creator platform musician music company right
6163,BONESUPPORT,technology company development biomaterial treatment fragility fracture osteoporosis bone voids gap trauma disease procedure company mission health enhance quality life patient bone disorder
107,Blue-Bottle-Coffee,coffee roaster retailer platform coffee subscription team world purpose coffee cafe home retail business operation
84,bonify,enable customer credit scoring datum company customer access credit score datum tool recommendation customer situation executive fund vcs entrepreneur
287,incident.io,incident management tool announce manage incident channel company management software incident format organization outage platform default solution incident communication channel team discussion update customer user role war room incident workflow
24445,Aibidia,transfer pricing management cloud platform shift focus document creation datum entry value creation insight team team tax lawyer datum scientist software developer
25277,Aico,closing automation manual request payment time integration system time visibility ability group company feature module process system limitation workaround
59,BrightHire,performance optimization technology recruiting team unlock value candidate conversation team role recruiter success candidate intelligence
22690,Aida-Oncology,cancer drug patient tumor expression pattern machine learning
4656,Brainomix,spin award biomarker physicians world life decision product e collection tool state art algorithm support doctor time interpretation brain scan treatment transfer decision patient patient treatment place time
310,Brightback,advice subscription business customer lifetime value headquarter
6,People.ai,intelligence platform enterprise revenue sale marketing customer success team revenue opportunity customer customer activity engagement drive insight revenue team empower sale leader team revenue picture sale activity sale performance analytic feedback pipeline review platform identify target buying group marketer visualization sale opportunity information marketer deal model target marketing effort campaign roi success service team people customer sale team effort activity opportunity customer cost support customer
10000,Alsop-Architects,modernist ideal degree user engagement
21858,Aid-One,knowledge guidance act emergency situation victim aid rocket science gain confidence tool tool
325,LaserComm,company line business telephone voice datum communication service company company technology foundation component module fiber network core competence ground field dispersion management company product increase reliability cost service haul haul carrier
9998,Susan-Hamilton,quality recruitment solution sector contract recruitment solution variety sector
25545,AI-Medical-Technology,health care solution service solution dermalyser validation decision support tool diagnosis skin cancer
25468,AirForestry,build forestry future forest way air thinning carbon dioxide emission forestry forest ability sequester carbon forest land forestry access road forest society society goal driving force
8416,CrowdJustice,community access court asset hospital value right page pledge fund kind action
23199,Airinum,company air pollution scale quality breathing mask health individual
23902,Airkit,customer engagement platform brand customer experience customer development prebuilt component template web voice brand component asset librarie customer datum core system apis integration measure optimize experience app analytic user engagement platform debug ship app developer operation data environment app trace app resolution device frame
5896,Callen-Lenz-Associates,design air vehicle vehicle component navigation communication software
6661,BullionVault,platform buying cost client asset bullion vault system delivery bullion bar refiner history world gold dealing delivery member investment product client gold property jurisdiction gold client store gold market client trade holding unit gram client place order market trade bot liquidity price gold industry market development body internet technology fund m investment business start industry exchange technology stack source component build company software startup support contract solution support company office
518,Kaggle,world community datum scientist data science problem application machine edge business result company sector company track record world problem array industries life service aviation information technology retail
22911,Airolit,airolit drone technology company customer solution branch security defense research manufacture technology inspection
2098,Gnergy,building owner manager advice software energy efficiency building software technology assess energy efficiency building software build fabric occupancy usage depth analysis energy emission cost
24136,Airstone,customer company network fabric price performance advantage datacenter network fabric latency market
550,JuiceBox-Games,vision build love mission embrace gamer experience interface founding belief game team team people product love inspiration card game blood world cadre heroes world conquer territory cadre character player aspect game player
1306,Capitall,age fintech platform investment brand wealth return brand platform review financial tool money brand return source income return exit investment marketplace platform
10017,Sesame-Labs,internet publish company app web3 marketing automation product
22581,Airtame,screen experience subscription solution screen share signage device screen wall student classroom team member meeting
10025,Bound,fintech company management business company
23325,Airzyme,enzyme biocatalyst absorption energy consumption post combustion conjunction technology performance process energy
21737,Aito-Technologies,world leader operator understand management customer life cycle relationship context business driver customer network service device customer life cycle
2871,Plaxica,technology licensing company production generation biopolymer platform chemical resource
475,King.com,entertainment company world people world games title language games company user web platform game appeal learn master people moment game game platform player devices platform game time device game player item entertainment value company feature game player experience game studio office
13500,vr-on,reality technology industry expert experience enterprise setting democratize reality application end end cloud solution enterprise application multi user
21718,Aivero,human automation robotic service simplifie 3d machine vision automation solution depth compression stream software perception application automation use
5036,Super-Seguros,insurance company insurance product company assessment technology user policy
520,"Centrify-(now-Delinea,-Inc.)",company redefine security legacy perimeter approach connection enterprise industry leader platform user access app infrastructure power identity service customer defend organization visit
222,Certess,design automation company qualification product company design block property verification team combination technique visibility question verification quality ability design verification engineer tool methodology quality improvement logic error chip respin design verification engineer way verification environment process design quality design company
23399,Akebia-Therapeutics,company treatment ischemia improvement disease development treatment anemia ischemia disorder company hypertriglyceridemia osteoporosis product enzyme phosphatase enzyme
40,Chord,service software commerce business technology datum product business edge commerce technology access -party data tech software datum management insight governance tool commerce entrepreneur commerce entrepreneur
23175,AKIRA-Science,tech manufacturing technology pliable scaffold tissue engineering
24155,Akkurate,startup company team experience battery production chain battery development lifecycle management bunch professional self confidence battery technology application solution predictability enable care investment
24496,Akokono-House,supplier food product protein palm customer inquirie phone email application
25327,Aktivbo,aktivbo data knowledge platform company estate company support customer efficiency profitability estate company survey data collection customer centric improvement datum collection datum analytic insight property company operation
21763,Albacross,albacross platform increase generation advertising efficiency display advertising target organization web accuracy return investment tool account
22687,Alba-Health,wellness product diagnose disease advice
24298,Alba-Therapeutics,stage biopharmaceutical discovery development commercialization pharmaceutical product disease response barrier dysfunction autoimmunity technology disease state permeability compound impact regulation junction cell barrier body application disease asthma lung injury
131,Citymapper,citymapper transport app cities power mobile transport datum human master address mobility method mobility datum human time multimodal city world search choice
22810,Alertix,goal company commercialize discovery research method presence thymidine kinase tk serum animal biomarker tumor growth cell turnover substance serum patient symptom tool diagnosis cancer disease method tk method method serum tk patient tumor
3583,Clarity-AI,clarity sustainability technology platform machine learn datum insight investor organization platform company fund country government data analytic research office client network asset management
331,CipherCloud,security company platform datum protection compliance control organization application datum privacy residency security compliance risk platform security control -bit encryption tokenization datum loss prevention detection visibility tool technology information time cloud application usability functionality company
4629,Pollen---Social-Platform,publish platform user friend fan photo video microblog place thought engagement
24979,AlexisHR,hr platform business time decision solution functionality datum management onboarding time employee review integration
9757,Good-Games-Guild,gaming hub earn game token
