id,name,cb_description,industry1,score1,industry2,score2,industry3,score3,industry4,score4,industry5,score5
25024,360-Logistics,"total supplier -party logistic online store automate fulfillment center middle deliver market fast precise logistic service business owner concentrate growth online store automate operator shipment fulfillment center currently warehouse area ​​5,000 autostore box employee",Supply Chains,0.574,Logistics,0.558,Sales & CRM,0.479,Physical Storage,0.475,E-commerce,0.436
21625,3rd-Eye-Studios,collection technology movie tv game industry veteran build atmospheric sophisticated game groundbreake technology tool game developer locate found group game industry veteran previously work senior position company,Gaming,0.542,Esports,0.376,Entertainment,0.364,Metaverse,0.353,Hardware,0.326
126,Joost,major undertaking organization skype founder janus friis attempt perfect iptv p2p demand video player offer professional legal programming television want service free video advertisement intersperse program small type image ad side screen heavy backing medium giant look good competitor organization bablegum livestation](http://www.techcrunch.com/2007/07/06/-look livestation report/ currently content deal financier etc forum p/2007/08 widget api/ develop new open party widget online video platform joost require download play video directly user browser joost offer desktop client allow user watch demand tv internet addition enhance tv experience offer interactive tool example user able chat friend watch channel interactive display user discover scene content peer peer technology lower cost channel owner reduce data server stream joost serve select user rest datum distribute user user talk hardware manufacturer embed](http://www.techcrunch.com/2007/06/15 embed joost change market/ platform tv set box successful change tv industry substantially fully public open update recently deactivate software client stream entire catalog available,Communications,0.369,Creator Economy,0.362,Entertainment,0.359,Video/Audio,0.308,Telecoms,0.303
14040,NAVENTIK-GmbH,develop market high precision software solution automobile position pathinfder enable diverse sensor system car execute partially autonomous drive rural urban area relevant security level,Autonomous Driving,0.449,Automation,0.348,Automotive,0.347,Industrial Tech,0.345,Location Services,0.332
24369,3Shape,global leader digital dentistry provide state art intra oral scanning solution software dentist dental laboratory country,Health Tech,0.294,MedTech,0.284,Business Intelligence,0.276,DeFi,0.239,Future of Work,0.235
22957,3TEMP-AB,design develop sell service tool equipment coffee industry high quality segment head office locate receive knowledge support investment develop manufacture market high end drip filter coffee brewer segment worth us$ year include people industry experience commercial knowledge elevate startup position dominant player drip filter coffee brewer segment,Sales & CRM,0.392,Circular Economy,0.34,Industrial Tech,0.34,Automation,0.335,Supply Chains,0.323
25192,42Networks,develop sell product system solution triple play fiber premise embed voip solution market broadband telephony fiber home ftth product sell generation product,Retail,0.34,AdTech,0.326,Sales & CRM,0.318,Network Infrastructure,0.316,E-commerce,0.315
22815,46elks,grow number developer globe provide platform tool developer integrate telephony infrastructure application simple word voice developer found,Communications,0.387,Developer Tools,0.334,Sales & CRM,0.329,Future of Work,0.328,Health Tech,0.314
25010,4Subsea,4subsea lead provider technology service help operator maintain production subsea oil gas field offshore wind farm combine expert engineering competence practical experience digital service ensure integrity subsea asset way reservoir deck company found client include major oil gas operator large supplier subsea equipment 4subsea deliver solution unique digital platform aim forefront digitise oil gas offshore wind operation worldwide,Telecoms,0.404,Sales & CRM,0.363,Industrial IoT,0.344,Supply Chains,0.337,Physical Storage,0.321
24698,A2O,a2o concept process produce sell climate friendly food plant base insect base product food manufacturing process company inquirie online inquiry form available website,Circular Economy,0.37,Food & Beverage,0.302,Industrial IoT,0.296,Industrial Tech,0.281,Manufacturing,0.269
25510,A3P-Biomedical,a3p biomedical provide prostate cancer diagnosis treatment specialize advanced prostate cancer diagnostic main product stockholm3 clinically commercially validate blood test early detection aggressive prostate cancer test combine protein marker genetic marker clinical data proprietary algorithm purpose detect aggressive prostate cancer early stage,Life Sciences,0.395,Genomics,0.369,MedTech,0.344,Health Tech,0.303,Analytics,0.296
25360,AAC-Microtec,primarily provide space solution system commercial governmental educational customer company develop manufacture sell microelectronic system small spacecraft offer development tool include virtual system integration equipment debugger flat satellite obc lite µrtu nanortu development kit company provide satellite system sub system rapid integration architecture product space wire avionic power product µpol pol arte,Space Tech,0.462,Telecoms,0.394,Developer Tools,0.382,Productivity,0.368,Hardware,0.362
155,Just-Eat,jt vision takeaway smart way promise consumer restaurant alike consumer eat provide convenient easy access huge variety delivery restaurant order food online restaurant help improve business increase exposure provide new revenue stream today eat world leader online takeaway order eat activity continent restaurant nerk root eat originate company launch boot strapped growth company slowly start internationalise begin launch internationalisation company gain momentum eat series investment round receive headquarter eat operate significant local team market country consider energy quality eat local activity critical success round investment see lead venture capitalist invest previously invest eat parent company,Food & Beverage,0.384,Sharing Economy,0.377,Circular Economy,0.349,Economic Empowerment,0.326,Travel,0.323
3602,Nature’s-Fynd,fynd food company produce protein microbe discover geothermal spring company mission create food nourish people planet revolutionary fermentation technology grow protein fraction land water resource require traditional agriculture fynd found headquarter,Food & Beverage,0.409,Climate & Clean Tech,0.343,Circular Economy,0.331,Carbon Removal,0.318,GreenTech,0.299
24656,Aalbun-Ltd,aalbun innovation intellectual property startup found disrupt intellectual property space aalbun service tool power secure digital platform act single pane glass request service innovation intellectual property need combine fix pricing model mission democratise simplify process innovation enable innovator change world aalbun trust patent filer world name startup,Deep Tech,0.379,DeFi,0.371,Sales & CRM,0.35,Creator Economy,0.344,LegalTech,0.337
2867,Kaptivo,use visual collaboration easier efficient remote meeting include live stream whiteboard content augment capability include automatic note take remote meeting include live stream whiteboard content augment capability include automatic note take business school use conjunction cisco webex collaboration tool improve productivity keep content secure,Productivity,0.489,Communications,0.434,Future of Work,0.427,Entertainment,0.302,Business Intelligence,0.295
24423,Aapiable.io,portal service customer developer partner apiable portal support multiple heterogeneous gateway time allow connect organization gateway require developer touchpoint use pre build adaptor connect exist management system s create new product combine s meet business need,API-First,0.344,Network Infrastructure,0.322,Communications,0.317,Sales & CRM,0.312,E-commerce,0.292
15785,Maniko-Nails,maniko distributor cosmetic item reimagine nail actual nail -base nail strip glossy finish chip product starter kits manicures pedicure accessory gift,Beauty,0.306,Creator Economy,0.218,Circular Economy,0.218,Retail,0.213,E-commerce,0.202
8,JustPark,park app reinventing parking digital era parking difficult long mission easy help driver enjoy easy parking save time avoid stress smart decision help big name property manage asset effectively -star app help driver find parking space choose provide real time information price availability restriction direction reserve pay guarantee space location extend time app give total peace mind park flip award win parking technology help parking owner operator drive efficiency improve experience increase revenue driveway office hotel hospital local authority commercial car park offer industry lead datum drive solution trust like provide intelligent solution side market unlock utilise parking space process able offer driver good choice option confidence availability frictionless experience park easy journey winner competition back eat provide sector love service customer satisfaction favourite parking app lead 0bn industry digital age,Sharing Economy,0.417,Transportation,0.393,Mobility,0.369,Autonomous Driving,0.341,Sales & CRM,0.324
22116,Aava-Mobile,found team industry expert strong background mobile platform development original design equipment manufacturer open platform provide flexibility oem mobile operator incorporate i d user interface content service let oem operator customize device easily differentiate competitor,Mobile,0.439,Creator Economy,0.376,Gaming,0.343,Sales & CRM,0.323,5G Networks,0.317
23702,abeo,abeo focus understanding meet unique need anesthesiologist goal consistently deliver level personal service start business sophistication require complex healthcare environment dedicate increase revenue sophisticated billing management technology available want spend time worry manage practice spend time enjoy life,Healthcare,0.421,MedTech,0.389,Health Tech,0.376,Sales & CRM,0.343,Business Intelligence,0.318
24280,Abionyx-Pharma,abionyx biotechnology company focus provide innovative therapy indication effective exist treatment rarest one provide drug treatment renal ophthalmological disease basis,Life Sciences,0.244,Nutrition,0.241,Beauty,0.216,MedTech,0.189,Healthcare,0.161
22624,Absolicon-Solar-Concentrator,produce install solar energy system offer solar concentrator collector company provide produce electricity heat hot tap water heating heat power air conditioning desalination process heat application product photovoltaic thermal application hotel hospital apartment building sport center industry airport restaurant supermarket southern found base,GreenTech,0.575,Energy Generation,0.491,Energy Efficiency,0.48,Data Centers,0.446,Physical Storage,0.42
4683,Tracsis,specialise solve variety datum capture report resource optimisation problem provision range associate professional service tracsis product service increase efficiency reduce cost improve operational performance decision make capability client customer tracsis office service project company introduce use video recording way increase accuracy completeness traffic flow count develop robust safe reliable video camera system expand service meet datum capture analysis need client build reputation industry leader sustain position collaboration university research department work closely consultant equipment manufacturer forefront transport datum collection analysis technique high employ time analyst process information gather staff great pride work closely supervise result carefully check issue mean high survey provide accurate mean available monitor traffic transport behaviour report carefully tailor present result clear concise format requirement resource deliver world class service support streamline high quality approach survey management analysis reporting know important accurate datum issue quality control seriously high accredit time manager market leader video survey technology expert type transport datum collection project nationwide coverage team specialise video manual automatic survey analysis offer comprehensive range service,Business Intelligence,0.41,Sales & CRM,0.39,Telecoms,0.387,Productivity,0.355,Security,0.346
23585,Abzu,bear desire challenge fundamental assumption contemporary black box pioneer artificial intelligence qlattice accelerate analysis insight transparent explainable model inspire datum scientist scientific found office,Deep Tech,0.393,Quantum Computing,0.338,Automation,0.231,Robotics,0.228,Nano,0.225
9901,Episode-1,base venture capital fund set invest early stage technology company base create mixture public private include back number entrepreneur include government enterprise capital fund set support fund manager invest small high growth business private investment match public invest seed series round m software drive business potential transform industry entrepreneur theirselve provide frank fast approach invest like play hand supportive role grow business look entrepreneur relevant experience ambitious change sector like hire world class talent delegate effectively know customer understand problem like entrepreneur datum drive like people passion ambition execute speed overcome significant hurdle way build portfolio company software technology disrupt choose marketplace diverse group range industry common theme great founder big market like invest company launch product client reference revenue usually 50k month invest like play active role help company invest company secure later financing round want help entrepreneur turn early stage venture fast grow company build grow significant valuable entity investment partnership share office number portfolio company work closely,Economic Empowerment,0.446,Sales & CRM,0.41,DeFi,0.404,FinTech,0.38,Sharing Economy,0.374
24246,Academica,provide company necessary infrastructure service enable company focus core competency grow business enhance company employee work dependability advanced solution bring significant cost saving company operation life cycle cost,Data Centers,0.465,Telecoms,0.448,Sales & CRM,0.445,Network Infrastructure,0.437,Circular Economy,0.43
22631,Acadia-Pharmaceuticals-Inc.,biopharmaceutical company focus development commercialization small molecule drug treatment central nervous system disorder maintain wholly own subsidiary base base develop portfolio consist product candidate include compound pimavanserin develop separate neurological psychiatric indication collaboration subsidiary corp . indications parkinson disease psychosis phase iii development adjunctive therapy schizophrenia alzheimer disease psychosis initiate phase ii feasibility study,Psychedelics,0.402,Neuro,0.321,Healthcare,0.298,Life Sciences,0.297,Health Tech,0.264
455,Codat,universal saas financial service provider company provide real time connectivity enable software provider financial institution build integrate product small business customer handle heavy lifting integration leave provider free focus integration improve product small business customer back,Cloud Computing,0.445,DeFi,0.44,Sales & CRM,0.434,FinTech,0.403,Data Centers,0.399
21651,Acamp,acamp capture community pen demand digitise exist campground addition create new let local landowner small business rent unused land search place camp,Economic Empowerment,0.33,Sharing Economy,0.295,Travel,0.287,Biodiversity,0.279,DeFi,0.262
3141,Pathee,pathee search engine find specific information people start current location generation search engine find information close one start current location,Search,0.441,Location Services,0.395,Social Networks,0.285,Travel,0.262,Mobile,0.254
9447,Genius-Sports,global leader distribution commercialization service provide innovative datum drive solution league federation trust partner sporting body include world large international federation professional league premier league take true partnership approach working sport distribute official datum organization commitment sport goes deliver profitable technical solution partner understand protection integrity successful commercialization sport datum fundamental continued success industry future require run sport utilize datum work closely ensure sport protect opportunity maximize,DeFi,0.352,Esports,0.347,Telecoms,0.318,Entertainment,0.308,Future of Work,0.3
23751,Acarix,acarix s base pioneer research perform initiate research group receive award medicoprisen medtech trade association research development collaboration establish receive public support national advanced technology oundation acarix s establish spin company major shareholder acarix s succeed attract venture capital dk dk seventure partner acarix s collaborator furthermore achieve fund business innovation und,DeFi,0.43,Sales & CRM,0.336,Sharing Economy,0.318,Deep Tech,0.296,FinTech,0.283
22556,Accedo,service medium industry work world lead video service provider broadcaster pure ott service provider work number product brand look launch video service increase market internal engagement provide range solution service deliver compelling video experience multiple platform device typically support customer video service distribution special focus video experience i.e. consumer interact video service ™ cloud platform provide operator broadcaster brands freedom build manage deploy high quality engage video experience way want professional service team able design build custom video experience type video service provider headquarter office customer continent company claim enterprise customer,Video/Audio,0.449,Network Infrastructure,0.442,Sales & CRM,0.422,Entertainment,0.415,Communications,0.414
382,CoMentis,biotech company focus research development small molecule drug treat neurovascular disease alzheimer disease ad age relate macular degeneration cognitive disorder originally found company name follow merger create lead neurovascular disease franchise,Longevity,0.363,Life Sciences,0.355,Deep Tech,0.313,Healthcare,0.306,Neuro,0.284
917,24Symbols,solution read digital book read device internet connection allow read read device internet conection smartphone laptop,Mobile,0.241,EdTech,0.217,Telecoms,0.19,FamilyTech,0.171,E-commerce,0.157
3255,ABK-Biomedical,combine clinical market biomaterial specialize improve treatment option patient hypervascular tumor company dedicate transform interventional radiology procedure call embolization,MedTech,0.28,Healthcare,0.229,Life Sciences,0.228,Health Tech,0.198,Deep Tech,0.171
10642,GeoSentric,gypsii market lead mobile digital lifestyle application geo mobility social networking platform connect people place community network device patented technology transfer publishing location base information mobile device base operate office list nasdaq omx geo1v,Mobile,0.464,Location Services,0.412,Sharing Economy,0.394,Telecoms,0.387,DeFi,0.379
23648,Accelerace,world seed accelerator spot train invest promise international startup growth company company market partner national -up initiative scale startup soundtech fintech future work m biotech digital health help experience serial entrepreneur mentor bootcamp vast network lifetime invest usd promise startup launch partnership nykredit danske bank sound hub ørste elia organize mentor network life science startup read email,Sharing Economy,0.406,Economic Empowerment,0.391,Health Tech,0.387,Deep Tech,0.376,Entertainment,0.376
28,8tracks-Radio,track internet radio social network stream user curate song playlist contain track track handcraft internet radio network alternative listener tune online mixtape track curate people know love music stream legal radio style manner,Creator Economy,0.399,Entertainment,0.336,Social Networks,0.324,Media,0.313,Esports,0.301
21023,Acconeer,high tech startup develop sensor generation portable device breakthrough technology develop microradar open new world human interaction radar technology give human device intuitive way interpret surround consume micro watt power main strength highly skilled experienced team company head ceo background mobile industry hold management position sale business development major international company startup spend venture capital active location range,Hardware,0.45,MedTech,0.45,Deep Tech,0.447,Productivity,0.435,Sales & CRM,0.435
9922,Cylon-Controls,electronic manufacturing platform provide smart energy solution business include control unitronuc32 good class hvac control flexible lighting control extensibility include ancillary building service combine real time information building condition powerful energy management deliver active energy found,Connected Life,0.499,Energy Efficiency,0.498,Connected Home,0.495,Industrial Tech,0.462,Automation,0.459
93,Common-Room,build manage community specialize time consume work depend technical acuman interpersonal skill content development depend know invest time effort maximum impact dynamic networked nature community make difficult understand happen community gain context time consume impossible obtain common room provide unified intelligence entire community provide real time insight inform action common room automate reporting engagement capability team engage community right time right message manual work save time focus high impact project market continue shift community lead acquisition role community professional evolve term business impact value common room allow team quantify contribution business form metric outcome matter executive order drive cross organizational understanding support build manage measure community common room scale impact user business,Productivity,0.446,Economic Empowerment,0.433,Developer Tools,0.418,Sales & CRM,0.409,Future of Work,0.397
22627,Accumulate,accumulate offer connect mobile solution operate invent develop patent mobile service platform secure mobile authentication secure mobile transaction offering open mobile payment eco system enable mobile payment exist mobile device payment situation environment pos include pair technology qr barcode online mcommerce vend mobile merchant application platform open platform developer custom mobile connect application issuer secure client support payment mobile banking generation mobile security service secure login digital signature eid etc service ticket loyalty coupon voucher gift card etc,Payments,0.577,E-commerce,0.512,Mobile,0.505,Sales & CRM,0.482,DeFi,0.478
10767,Get-Heli,heli online marketplace helicopter charter operator bid booking request broker consolidate fragmented market central online marketplace overhead reduce side charter market result great margin improve price end customer anonymity booking process ensure fair pricing prevent unstructured request create benefit broker operator develop website connect mobile app slash lead time b2b market improve experience chain right end consumer service provider access suggest good landing site book nearest icao airport,Travel,0.403,DeFi,0.387,Telecoms,0.368,Procurement,0.364,AdTech,0.359
23887,Acerta-Analytics,machine learn artificial intelligence power solution transform quality control precision manufacturer part build automotive highway vehicle translate complex product datum actionable insight manufacturer help product market fast few defect solution help manufacturer locate early indicator future product failure accelerate root cause analysis reduce scrap rework improve throughput customer right decision fast optimize production improve product quality ultimately improve profit,Industrial Tech,0.462,Automation,0.447,Sales & CRM,0.429,Industrial IoT,0.427,Productivity,0.422
3202,Cúram-Software,cúram develop offer social enterprise management sem social program software solution human service labor health social security military startup agency help customer innovate service organization meet exceed citizen expectation support cúram found base office,Sales & CRM,0.378,InfoSec,0.375,DeFi,0.34,Security,0.333,Health Tech,0.327
25054,Acknoledger,consist plagiarism engine platform marketplace adopt decentralized approach provide unique identifier content validate platform ledger collaborate current deploy solution exist asset,DeFi,0.426,Web3,0.353,Cloud Computing,0.333,Data Infrastructure,0.329,Creator Economy,0.316
24057,Acquia,provide cloud platform building deliver optimize digital experience organization world include accelerate time market drive customer engagement cross channel contextually relevant high impact digital experience company found headquarter,Cloud Computing,0.451,Cloud Ops,0.432,Gaming,0.416,Data Infrastructure,0.407,Edge Computing,0.404
5969,AI-XPRT,provide automate regulatory compliance assurance financial audit world lead leader work company particularly financial service sector use natural language processing automation hitherto largely manual auditing compliance client account information plethora national regional global financial regulation,RegTech,0.597,DeFi,0.505,FinTech,0.493,Sales & CRM,0.484,LegalTech,0.451
23745,Activity-Stream,make organization well efﬁcient turn underutilize business datum actionable intelligence insight real time observe action activity take place organization business system construct complete synthesized picture happen business relevance complete view context recognize pattern opportunity threat present provide right time appropriate stakeholder observation proactively deal take advantage operational layer implement unobtrusively current infrastructure have rip replace exist system,Business Intelligence,0.391,Circular Economy,0.387,Physical Storage,0.367,DeFi,0.357,Supply Chains,0.352
23837,Actiwave,actiwave spin work closely research group abroad ensure stay lead comes optimize audio system focus bring late research acoustic signal process digital audio modern home,Video/Audio,0.375,Manufacturing,0.293,Communications,0.285,Telecoms,0.273,Automation,0.272
427,CruiseWise,cruisewise bring wisdom simplicity cruise book cruisewise originally found partner launch crucial time cruise industry recent report suggest booking wake capsize coast cruise report significant dip cruise booking number follow accident ordinarily consider high point term cruise booking volume cruisewise provide detailed information ship size service level construction date offer photo cabin entertainment facility layout manage remain simple responsive overwhelming,Travel,0.356,Logistics,0.325,RegTech,0.324,Sharing Economy,0.324,Sales & CRM,0.32
6769,Alasco,alasco support project controller developer automate workflow availability financial datum place central information source increase productivity participant method decrease probability error assure comprehensive transparency fast decision make,Productivity,0.509,Business Intelligence,0.382,Developer Tools,0.369,Industrial IoT,0.361,Data Infrastructure,0.337
23252,Acumem,provider intelligent software analyze help optimize compute performance single- multi core environment contribute customer success maximize benefit multi core technology achieve potential system partnership lead company multi core market hp privately hold company base sale office,Business Intelligence,0.54,Sales & CRM,0.476,Cloud Ops,0.448,Cloud Computing,0.41,Edge Computing,0.404
22294,Adamant-Health,unique technology analyse parkinson disease symptom base academic research technology detailed visibility patient symptom able optimise treatment accordingly company benefit objective long term datum clinical post market study utilise complementary diagnostic tool personalise medication,Healthcare,0.401,MedTech,0.4,Health Tech,0.396,Happiness & Wellbeing,0.29,Analytics,0.271
4294,AllPlants,operate vegan meal delivery service packaging recyclable partly compostable reusable create delicious dinner inspire plant base live people + planet thrive start journey deliver hand prepare meal doorstep -wide,Food & Beverage,0.365,Circular Economy,0.305,Sharing Economy,0.28,E-commerce,0.278,Creator Economy,0.272
2752,Powr-of-You,powr consumer intelligence tool connect brand consumer learn earn digital footprint brand learn consumer behavior unified view device platform drive great marketing roi consumer manage entire connect digital life place share revenue reward win win model shift power traditional datum provider empower consumer,Sales & CRM,0.422,Creator Economy,0.421,Connected Home,0.389,Connected Life,0.361,Circular Economy,0.348
133,AllPeers,open source software extension mozilla browser allow user share file folder web page image link right browser p2p peer peer technology navigator enable user maintain contact chat share item people list user include subject line text message sharing item user share item notification appear right hand corner browser window add contact button let user import contact outlook file folder image user wish share drag drop window link web page share drag drop page browser tab window download location bandwidth speed set toolbar preference button launch operate,Communications,0.288,Social Networks,0.241,MarTech,0.234,Network Infrastructure,0.226,Productivity,0.21
25307,Adapteva,privately hold semiconductor technology company base found developed world energy efficient multicore microprocessor architecture immediately boost order magnitude number core integrate single chip breakthrough architecture immediate impact wide range end user product compact mobile device generation supercomputer groundbreake multicore architecture represent new class massively parallel computer architecture future computing disrupt wide range end market compact low power device generation supercomputer enable parallel programming heterogeneous environment adopt open source approach make architecture interface programming information available,Semiconductors,0.381,Hardware,0.373,Deep Tech,0.34,5G Networks,0.311,Energy Efficiency,0.298
23515,ADCendo,biotech company dedicate develop new type anti cancer drug focus antibody drug conjugate adcs direct novel target find overexpressed cancer form characterize significant unmet need novel treatment,Life Sciences,0.35,Beauty,0.226,Longevity,0.212,Genomics,0.204,MarTech,0.201
44,Kong,kong power s microservice open source gateway service connectivity platform cloud protocol language agnostic product work seamlessly emerge legacy technology,Cloud Computing,0.378,Cloud Ops,0.352,Cloud Infrastructure,0.339,Network Infrastructure,0.336,Edge Computing,0.334
477,doubleTwist,doubletwist corporation found aka dvd jon vision create medium platform internet thing back prominent venture capital firm individual investor application download user user experience music video medium doubletwist doubletwist build powerful ecosystem medium app market directly end user country license promote blue chip partner t mobile doubletwist recognize developer receive market prestigious editor choice award choose number app describe withdrawal raise dream team investor northz ventures head president chief software architect co founder lectual venture,Creator Economy,0.372,Metaverse,0.336,Entertainment,0.318,Sharing Economy,0.316,FinTech,0.312
2274,Estateguru,lead marketplace facilitate property back loan sme carefully select investment opportunity global investor base develop digital borderless ecosystem real estate financing invest connect different service provider sme investor single marketplace offer unique financial institution seamless cross border digital service borrower investor team consist professional different nationality base hq,DeFi,0.536,FinTech,0.481,Sharing Economy,0.471,Sales & CRM,0.432,Economic Empowerment,0.432
